per,pl,iv,rv
2002-11,0.04220138905403584,0.3113999938964844,0.23402685133269358
2002-12,0.035601482301318654,0.275,0.2000587856073343
2003-01,0.02543140971094568,0.286200008392334,0.2376531823747083
2003-02,0.06312153987941133,0.31170000076293947,0.184486722005149
2003-03,0.015302053525524342,0.296299991607666,0.269242699996079
2003-04,0.050062772007526166,0.29149999618530276,0.1868407765144037
2003-05,0.02077601498954588,0.21209999084472655,0.155596886623053
2003-06,0.013967505558235796,0.1946999931335449,0.15472744348681858
2003-07,0.013576851466712687,0.19520000457763673,0.15660839798809228
2003-08,0.023950375048032744,0.19489999771118163,0.11847208135162418
2003-09,0.01489812538276343,0.18629999160766603,0.14074644397018704
2003-10,0.03945107873940444,0.22719999313354491,0.11031209426204552
2003-11,0.014112905760457557,0.16100000381469726,0.10866506093439131
2003-12,0.017814372633204834,0.1631999969482422,0.09391414361373598
2004-01,0.022157706934839434,0.18309999465942384,0.10662035973228379
2004-02,0.020389914191313564,0.166299991607666,0.0852395038547047
2004-03,-0.0017199025594682588,0.14550000190734863,0.15129492098053626
2004-04,0.012221608269663477,0.16739999771118164,0.12570262910552085
2004-05,0.01473255504281884,0.17190000534057617,0.12172533340792818
2004-06,0.013352305683268183,0.155,0.10330873301290563
2004-07,0.007140631605467421,0.1434000015258789,0.11585736416885484
2004-08,0.007899651426364299,0.15319999694824218,0.12478216073853311
2004-09,0.01492508055627423,0.15289999961853026,0.09194198892275675
2004-10,0.0006814518901274887,0.13340000152587891,0.1308209024467306
2004-11,0.017719006067502235,0.16270000457763673,0.09355364996653406
2004-12,0.011928263664824069,0.13239999771118163,0.07484314082864797
2005-01,0.007691588321646606,0.13289999961853027,0.09985400130670148
2005-02,0.004756884391682727,0.1281999969482422,0.10806643709240432
2005-03,0.003582541311247616,0.12079999923706054,0.1049290165036641
2005-04,-0.0038555707073256625,0.1402000045776367,0.15333496662827764
2005-05,0.014327496238966276,0.15310000419616698,0.09545739911552206
2005-06,0.0111948409128369,0.13289999961853027,0.08042119736592117
2005-07,0.0077227755134477325,0.12039999961853028,0.08230057347731155
2005-08,0.0036867392706986264,0.11569999694824219,0.09848730894447581
2005-09,0.00845245681467302,0.12600000381469725,0.0861599915658695
2005-10,-0.009357430516297126,0.11920000076293945,0.15351244476648104
2005-11,0.0184256929680442,0.15319999694824218,0.07102496812316929
2005-12,0.008849561702145996,0.120600004196167,0.07546389408166994
2006-01,0.0018009780330391096,0.12069999694824218,0.11299341233127957
2006-02,0.006774028376368691,0.12949999809265136,0.09998110386282008
2006-03,0.008876216345783554,0.1234000015258789,0.07969532000565253
2006-04,0.0054335751314003216,0.11390000343322754,0.0868310753744817
2006-05,-0.007713938066934323,0.11590000152587891,0.14541921613264547
2006-06,0.0044533106166332395,0.16440000534057617,0.15024663436945346
2006-07,0.00014288361804051103,0.13079999923706054,0.1302526628609739
2006-08,0.01772299519120675,0.14949999809265135,0.06802392401571676
2006-09,0.009487309508107184,0.123100004196167,0.07527483992004996
2006-10,0.010660643901061032,0.11979999542236328,0.060756851483081555
2006-11,0.0044998801552535005,0.11100000381469727,0.08843710019900758
2006-12,0.007329912217167674,0.1090999984741211,0.06762320200852331
2007-01,0.006940439792033155,0.11560000419616699,0.08014312932572992
2007-02,-0.016009654100972714,0.10420000076293945,0.16391245913587318
2007-03,0.00475971152042224,0.15420000076293947,0.137905506470439
2007-04,0.015512093562534433,0.14640000343322754,0.07694717306512697
2007-05,0.013772454541543922,0.1422000026702881,0.080301844423936
2007-06,-0.00457858359245222,0.13050000190734865,0.14699943568010804
2007-07,-0.003450841861574131,0.16229999542236329,0.17260396975641457
2007-08,0.00429227309993848,0.2352000045776367,0.22589105571797624
2007-09,0.033109675407985095,0.233799991607666,0.14680858512961564
2007-10,0.012827737425019081,0.18,0.13990090269537547
2007-11,-0.03633903411464741,0.1853000068664551,0.26584793897895037
2007-12,0.01974773975733799,0.22870000839233398,0.18043268573436366
2008-01,-0.0003600030030689455,0.225,0.22579858946208886
2008-02,0.03544452760920475,0.2620000076293945,0.18220723473176917
2008-03,-0.005759065336202518,0.26540000915527345,0.2760366464725685
2008-04,0.03484977428674718,0.25610000610351563,0.17532095949849683
2008-05,0.02073078475160615,0.20790000915527343,0.14997209425475336
2008-06,-0.004267820947388486,0.17829999923706055,0.18989131279583138
2008-07,0.009200181570432765,0.23950000762939452,0.2194540318245424
2008-08,0.014159887676966083,0.22940000534057617,0.1961236211507688
2008-09,-0.19471663748069537,0.20649999618530274,0.487194915721855
2008-10,-0.6187803787824324,0.3938999938964844,0.8797372243881026
2008-11,-0.1483864938685337,0.5988999938964844,0.7120868602619647
2008-12,0.08750597304421262,0.5527999877929688,0.46699234839523207
2009-01,0.00868742652584023,0.4,0.38898916883913337
2009-02,0.08077978479473796,0.4484000015258789,0.34681807417386745
2009-03,-0.009210312921864028,0.46349998474121096,0.47333133086345214
2009-04,0.1078566346869843,0.4413999938964844,0.2949191752410008
2009-05,0.057812752543157916,0.365,0.2746129047529305
2009-06,0.043855956568824545,0.28920000076293945,0.19945095605802352
2009-07,0.03012417932544044,0.2635000038146973,0.19826263562483237
2009-08,0.04021799500379995,0.2592000007629395,0.164215241045732
2009-09,0.04470542109593069,0.26010000228881835,0.15148131929288386
2009-10,0.020339510513790016,0.25610000610351563,0.2127150737781193
2009-11,0.07104487695991059,0.30690000534057615,0.15212736873467272
2009-12,0.049166918794598474,0.24510000228881837,0.10443702565364593
2010-01,0.01893277453989513,0.2168000030517578,0.16753944843930657
2010-02,0.029717837953353463,0.246200008392334,0.17577430466092553
2010-03,0.032364467602067626,0.195,0.07523650974050017
2010-04,0.008017449022210254,0.1759000015258789,0.151404628445084
2010-05,-0.053518653198970284,0.22049999237060547,0.3195917705986926
2010-06,0.037414837057859515,0.3206999969482422,0.25580002147134984
2010-07,0.08067375047266861,0.3454000091552734,0.19653858616514555
2010-08,0.02422364089687064,0.235,0.1760720281678193
2010-09,0.04365953459254045,0.26049999237060545,0.15556577847503947
2010-10,0.04551184117126344,0.23700000762939452,0.10323353352990308
2010-11,0.022757826144538765,0.21200000762939453,0.14895025038691467
2010-12,0.04815479121273815,0.23540000915527343,0.0851960861634187
2011-01,0.021021940105239487,0.1775,0.10239291916319464
2011-02,0.02446443749022903,0.19530000686645507,0.11695150786462041
2011-03,0.0069445211330378155,0.18350000381469728,0.16348617760213277
2011-04,0.023681656485946993,0.17739999771118165,0.08825589329886281
2011-05,0.010202519895455514,0.1475,0.1074882789170265
2011-06,-0.003575930955022042,0.15449999809265136,0.16566888774193939
2011-07,0.0028242917386528538,0.16520000457763673,0.1564185084118831
2011-08,-0.15091667803780745,0.2525,0.4633280997714335
2011-09,0.015145890656356215,0.316200008392334,0.2912671534020887
2011-10,0.10124799858955962,0.42959999084472655,0.2886315186257896
2011-11,-0.003967869473284369,0.29959999084472655,0.3061503290663667
2011-12,0.04193660512518504,0.27799999237060546,0.18800901742435563
2012-01,0.04719469105044508,0.23399999618530273,0.08695577706096708
2012-02,0.030861956806549996,0.19440000534057617,0.08324304937870818
2012-03,0.02102040585869966,0.1843000030517578,0.11378086511438677
2012-04,0.0032627648676528363,0.155,0.14409106541471323
2012-05,0.012579352214975435,0.17149999618530273,0.12974165282045477
2012-06,0.01513912451455092,0.24059999465942383,0.20675887626789777
2012-07,0.009484360986277415,0.17079999923706055,0.1403149270501983
2012-08,0.027947569374656568,0.18930000305175781,0.08880834296809591
2012-09,0.01711217118902067,0.17469999313354492,0.11579255767034413
2012-10,0.013223456857395286,0.15729999542236328,0.1073304789073459
2012-11,0.011236706820323607,0.18600000381469728,0.15283747772959286
2012-12,0.011839618548038201,0.15869999885559083,0.11552519676990959
2013-01,0.022646961369100563,0.1802000045776367,0.0991215429696276
2013-02,0.0024036541796350827,0.1427999973297119,0.13412003973206482
2013-03,0.01826938183180031,0.15510000228881837,0.07606989469028569
2013-04,-0.0039920806488404105,0.12699999809265136,0.14184879331306932
2013-05,0.007136623298457101,0.13520000457763673,0.10555765220644069
2013-06,-0.0037259767383915413,0.16299999237060547,0.17405451517041717
2013-07,0.023516679730300062,0.16860000610351564,0.0700662709711702
2013-08,0.007235129049348789,0.13449999809265137,0.10418790926769975
2013-09,0.021690118957992832,0.17010000228881836,0.08511105580747531
2013-10,0.012334655626836409,0.16600000381469726,0.12337481768838848
2013-11,0.011103896321469162,0.1375,0.08833093273893829
2013-12,0.009361579836328168,0.13699999809265137,0.09699185347779632
2014-01,0.00281012783671495,0.1372000026702881,0.1265452997784276
2014-02,0.01831837759434384,0.1840999984741211,0.12479756345308811
2014-03,0.009473270088517472,0.14,0.10063165461962022
2014-04,0.002218849896764484,0.13880000114440919,0.13056259196616582
2014-05,0.011494502524141194,0.1340999984741211,0.080550028346476
2014-06,0.009815099469134263,0.11399999618530274,0.05639946507826802
2014-07,0.002645975307823836,0.11569999694824219,0.10363645104884389
2014-08,0.022758535582576355,0.16950000762939454,0.07727688531371107
2014-09,0.005928059053880786,0.1209000015258789,0.0932134717467209
2014-10,-0.006008377480217542,0.16309999465942382,0.18058235167956369
2014-11,0.017855579345825972,0.1402999973297119,0.04276107932327241
2014-12,-0.005916621951653215,0.13329999923706054,0.15390098033558317
2015-01,0.00852918269225799,0.19200000762939454,0.16832949901140196
2015-02,0.035221015865663334,0.20969999313354493,0.09355784977512821
2015-03,-0.002205126943917581,0.13340000152587891,0.1414237863692741
2015-04,0.01610401174931679,0.15289999961853026,0.08529008227238243
2015-05,0.009708710156445382,0.14550000190734863,0.10705858395566921
2015-06,0.0067041882009397785,0.13840000152587892,0.11158123597372234
2015-07,0.019654594714995637,0.18229999542236328,0.11652765172266208
2015-08,-0.0573719880100232,0.12119999885559082,0.2684425967178429
2015-09,0.029913637201326962,0.2843000030517578,0.22563877001504534
2015-10,0.04433160692726974,0.245,0.1252732735771292
2015-11,0.008091410447762184,0.15069999694824218,0.12090938190412695
2015-12,-0.007147272306784094,0.161299991607666,0.18211249160729534
2016-01,-0.02466231168962315,0.18209999084472656,0.24046354891183122
2016-02,0.005360490937190654,0.20200000762939452,0.18826447393251014
2016-03,0.0296896689347158,0.20549999237060546,0.11198472185795301
2016-04,0.008986430073498853,0.13949999809265137,0.10234167965375048
2016-05,0.012550097300413284,0.15699999809265136,0.10999500943533415
2016-06,-0.014823659055289772,0.141899995803833,0.18697397643634153
2016-07,0.0188980077650714,0.15630000114440917,0.07437528213506761
2016-08,0.01108808799586106,0.11869999885559082,0.054786875549315675
2016-09,-0.0022882490745202468,0.13420000076293945,0.14247066111762519
2016-10,0.013107596232978545,0.13289999961853027,0.06748935964747925
2016-11,0.018139328486178184,0.17059999465942383,0.1047140377008606
2016-12,0.01137339002284942,0.13329999923706054,0.07997186863985935
2017-01,0.015333538777579191,0.14039999961853028,0.0661711501736528
2017-02,0.012296189066969773,0.11989999771118164,0.04560504779266861
2017-03,0.009703315150402307,0.12920000076293944,0.08360218326539831
2017-04,0.009634746172965933,0.12369999885559083,0.07527910429798723
2017-05,0.0057506192232948256,0.10819999694824219,0.07717914301354216
2017-06,0.005307520428516123,0.10409999847412109,0.07435919078228252
2017-07,0.009384220085499445,0.11180000305175782,0.05581236956870415
2017-08,0.0017334790133549244,0.10260000228881835,0.09377249840070706
2017-09,0.00830511144349593,0.1059000015258789,0.05394162474087358
2017-10,0.006534577767936431,0.09510000228881836,0.050094237866213975
2017-11,0.006196208647323508,0.1018000030517578,0.06455255203331926
2017-12,0.009696773728847183,0.11279999732971191,0.05501877560193276
2018-01,0.004703934603245759,0.11039999961853027,0.08651141723799076
2018-02,-0.06010990757805519,0.13539999961853028,0.2800768956460943
2018-03,-0.0012495002779301934,0.19850000381469726,0.20162279581526743
2018-04,0.01047709797852709,0.19969999313354492,0.17147299868787155
2018-05,0.014651787771874326,0.15930000305175782,0.10356014291422991
2018-06,0.01652801601018008,0.1543000030517578,0.08532569912747504
2018-07,0.01881459819428587,0.1609000015258789,0.08410833666612344
2018-08,0.01161922728702355,0.12829999923706054,0.06958205600013688
2018-09,0.013412331391668343,0.12859999656677246,0.05590731370138923
2018-10,-0.03458904853286953,0.12119999885559082,0.2219875858138575
2018-11,0.009858009363760169,0.21229999542236327,0.1876520148907954
2018-12,-0.05617001936318671,0.18069999694824218,0.2980310525101058
2019-01,0.031608906922156926,0.25420000076293947,0.1816830577288964
2019-02,0.020894192833631937,0.1656999969482422,0.08100800056176882
2019-03,0.007949386930942414,0.1477999973297119,0.11787897301775425
2019-04,0.015003604180059596,0.13710000038146972,0.06158576072875449
2019-05,-0.004390599726995313,0.13119999885559083,0.14698312633327115
2019-06,0.023812190110379473,0.18709999084472656,0.10580272427360879
2019-07,0.015526159499820428,0.15079999923706056,0.08493809669445765
2019-08,-0.027708832530655616,0.16120000839233398,0.23172025210659547
2019-09,0.028590611333191976,0.18979999542236328,0.08621732383423385
2019-10,0.009729602650692091,0.16239999771118163,0.12901223432643785
2019-11,0.014290931523830475,0.13220000267028809,0.056443858675623
2019-12,0.010309677547808085,0.12619999885559083,0.07494506096697126
2020-01,0.0040765543566875905,0.1377999973297119,0.12211586673066288
2020-02,-0.028643292738018918,0.1884000015258789,0.25325452278877486
2020-03,-0.6560923329454094,0.40110000610351565,0.9038658904072272
2020-04,0.1258364464499075,0.5354000091552734,0.40101960469976944
2020-05,0.06644746664130502,0.34150001525878904,0.22399730752946143
2020-06,-0.009372121405659142,0.27510000228881837,0.29163698782041864
2020-07,0.07561655367021014,0.3043000030517578,0.13031476580606535
2020-08,0.053163248576678056,0.24459999084472656,0.08164500563146691
2020-09,0.009257126375262409,0.2640999984741211,0.24595056986876113
2020-10,0.027682597600185307,0.263700008392334,0.20458518232250278
2020-11,0.11840321727470422,0.3802000045776367,0.1617059869211117
2020-12,0.034898229290904116,0.20569999694824218,0.08610609417226357
2021-01,0.023620939417472852,0.2275,0.16773583571356226
2021-02,0.08880181261622092,0.3309000015258789,0.14385061137724003
2021-03,0.051641653517052896,0.27950000762939453,0.16272246540591348
2021-04,0.026672745462931278,0.19399999618530273,0.10470555408843502
2021-05,0.014861292996788567,0.18610000610351562,0.1406126568803107
2021-06,0.02072538003428418,0.16760000228881836,0.0858159701508276
2021-07,0.012175898338782774,0.15829999923706053,0.11350326611895621
2021-08,0.02639434484907205,0.18239999771118165,0.08291811814053078
2021-09,0.010739461323385976,0.1647999954223633,0.1281388979499394
2021-10,0.04176600074696501,0.23139999389648438,0.10853550768448084
2021-11,0.0098382398799149,0.16260000228881835,0.12884300859731906
2021-12,0.04544964619766717,0.2719000053405762,0.16876008623646227
2022-01,-0.005205098187238143,0.17219999313354492,0.18670280078893048
2022-02,0.011080645205674526,0.24829999923706056,0.22488273480961082
2022-03,0.03649072279614254,0.3014999961853027,0.23326278079366844
2022-04,-0.02079595290867217,0.20559999465942383,0.25113205831320556
2022-05,0.01283191644307112,0.3340000152587891,0.3142039047335348
2022-06,-0.02033139876673623,0.26190000534057617,0.2981996169751565
2022-07,0.04612989325380649,0.28709999084472654,0.19051643364611773
2022-08,0.00791131586810949,0.21329999923706056,0.1938699920215105
2022-09,0.008807280336394128,0.258700008392334,0.24107760992219818
2022-10,0.02285543932234063,0.316200008392334,0.2777174931202056
2022-11,-0.009046321594711845,0.25879999160766604,0.2757240599781598
2022-12,0.00980701339481637,0.20579999923706055,0.18040683548900732
2023-01,0.019589487480291476,0.21670000076293947,0.16543700568605105
2023-02,0.013332554835510737,0.19399999618530273,0.15589561791271342
2023-03,0.009913460847602494,0.20700000762939452,0.1814815205770739
2023-04,0.020522133186555214,0.18700000762939453,0.12019513162702722
2023-05,0.008629303878488249,0.15779999732971192,0.12755992818580936
2023-06,0.021216540874018135,0.17940000534057618,0.10472736529761754
2023-07,0.012104594559264784,0.13590000152587892,0.07977603559634378
2023-08,0.003419842906791695,0.13630000114440918,0.12311721002838819
2023-09,0.00640441283926481,0.1356999969482422,0.10959049380529376
2023-10,0.011092306562170008,0.1752000045776367,0.14000976766580936
2023-11,0.020519055625900125,0.18139999389648437,0.11129646067932457
2023-12,0.0077087710862360406,0.12920000076293944,0.09478327442596353
2024-01,0.00302656723776973,0.12449999809265137,0.11168564047047617
2024-02,0.005963542002594071,0.14350000381469727,0.12094920046128482
2024-03,0.008509505721473552,0.13399999618530273,0.09719307205859683
2024-04,-0.0005017318729655107,0.13010000228881835,0.13201417525597792
2024-05,0.015518994825371437,0.15649999618530275,0.09472726102146276
2024-06,0.01263582384976869,0.12920000076293944,0.06369314207491152
2024-07,-0.005232978207049193,0.12439999580383301,0.14390391642704817
2024-08,-0.00992466242033456,0.16360000610351563,0.1915453586422937
2024-09,0.003838549078427289,0.15,0.13660692120669696
2024-10,0.015545769000025005,0.1672999954223633,0.11155052428517659
2024-11,0.0396654371383953,0.2315999984741211,0.11820796146968104
2024-12,-0.002541968422134673,0.13510000228881835,0.14420117558665532
2025-01,0.010668399276343242,0.17350000381469727,0.13940535157359177
2025-02,0.009697107689851305,0.16430000305175782,0.13151951685189664
2025-03,-0.004587926638717328,0.196299991607666,0.20765744230315242
2025-04,-0.21991571458735087,0.22280000686645507,0.5191874012791945
2025-05,0.0326712887625529,0.24700000762939453,0.16833809731123864
2025-06,0.02461816070950999,0.18569999694824219,0.09932939221130455
2025-07,0.023695354128456737,0.1672999954223633,0.06552811869622109
2025-08,0.013656469014447363,0.16719999313354492,0.1195799677596967
2025-09,0.018449609968455044,0.15359999656677245,0.07171714562681274
2025-10,0.007547604861938697,0.16280000686645507,0.1376816522771975
2025-11,0.006811712087138752,0.17440000534057618,0.1536347935060748
2025-12,0.019200827997796353,0.16350000381469726,0.08678377296251681
2026-01,0.011727846115862375,0.14949999809265135,0.10306504409274943
2026-02,0.012526312916920631,0.17440000534057618,0.1337499493303544
2026-03,0.007173775790690902,0.19860000610351564,0.17963347859913403
2026-04,0.05024831046364847,0.2525,0.11622366168879522
2026-05,0.0190223369873425,0.16889999389648438,0.097492927696782
2026-06,-0.008576835607809929,0.15319999694824218,0.17901696755545643
2026-07,0.012430129987999017,0.16450000762939454,0.12095504339245984
