name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash_months,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_edge_pp,wf_n_positive,wf_n_beats_spy,wf_n_splits,scorer,k_combo,weighting,gate,hold
mom_12_1|k7_5_5|ew|tight|h3,0.13253060449883902,0.1194382410561079,1.3092363442731125,0.6204864042814553,-0.6349688959203911,5,0.1396382397028893,0.14514874142962275,0.04715854060625024,0.2705979331784878,-0.8421957636545319,10,5,10,mom_12_1,k7_5_5,ew,tight,3
mom_12_1|k7_5_5|ew|tight|h6,0.09906708898341954,0.1194382410561079,-2.037115207268836,0.49888909168665646,-0.6629777517651878,4,0.15015875090196407,0.12697563862016603,-0.01697703811741802,0.3898929488245386,0.20985535625294488,9,5,10,mom_12_1,k7_5_5,ew,tight,6
mom_12_1|k7_5_5|ew|loose|h1,0.1130420774802281,0.1194382410561079,-0.6396163575879799,0.6203636996805427,-0.5469968354572494,36,0.13505019553591818,0.11561983400334619,0.009649982369864807,0.3259061941075385,-1.3010001803516413,10,5,10,mom_12_1,k7_5_5,ew,loose,1
mom_12_1|k7_5_5|ew|loose|h3,0.11730866212563362,0.1194382410561079,-0.2129578930474274,0.5815460337324774,-0.7701238207805862,24,0.15211814746345034,0.13749795425171352,-0.11542054417966785,0.33527400915228966,0.4057950124015729,9,4,10,mom_12_1,k7_5_5,ew,loose,3
mom_12_1|k7_5_5|ew|loose|h6,0.09212900831200699,0.1194382410561079,-2.730923274410091,0.48583193538371305,-0.7269306962992719,21,0.1255800025028771,0.13621204617843008,-0.05136676836010723,0.27840647046503464,-2.2480194836557486,9,2,10,mom_12_1,k7_5_5,ew,loose,6
mom_12_1|k7_5_5|ew|none|h1,0.11852144393351538,0.1194382410561079,-0.09167971225925164,0.613981559104926,-0.6859686969623426,0,0.1367559668267004,0.14738976905631385,-0.09211284461582603,0.24283220869863542,-1.1304230512734181,9,4,10,mom_12_1,k7_5_5,ew,none,1
mom_12_1|k7_5_5|ew|none|h3,0.11862211357718588,0.1194382410561079,-0.0816127478922013,0.5750451329448609,-0.7798149768382766,0,0.15420042920265145,0.16318758249358023,-0.10024952298472378,0.35435914840944127,0.614023186321684,9,6,10,mom_12_1,k7_5_5,ew,none,3
mom_12_1|k7_5_5|ew|none|h6,0.09007131697279136,0.1194382410561079,-2.9366924083316537,0.4759108245778789,-0.7508485779456765,0,0.14910973185022308,0.1749877851996886,-0.13212453025247606,0.3532509216193598,0.10495345107884627,9,6,10,mom_12_1,k7_5_5,ew,none,6
mom_12_1|k7_5_5|conv|tight|h1,0.11038438718692634,0.1194382410561079,-0.9053853869181561,0.5432875540764079,-0.7536785614287462,12,0.1400381007850794,0.09120704073618957,-0.027976808091090377,0.35287233450163513,-0.8022096554355229,9,4,10,mom_12_1,k7_5_5,conv,tight,1
mom_12_1|k7_5_5|conv|tight|h3,0.1381540409411366,0.1194382410561079,1.8715799885028694,0.5895244556009162,-0.8155857852843654,5,0.17052837417485148,0.17886852868132697,0.03194714795304021,0.33773403784091927,2.2468176835416864,10,7,10,mom_12_1,k7_5_5,conv,tight,3
mom_12_1|k7_5_5|conv|tight|h6,0.07277484493948272,0.1194382410561079,-4.666339611662518,0.39318147278599774,-0.8440569119791621,4,0.12691375681535455,0.10519322027429123,-0.041542824599599903,0.31708768801027865,-2.1146440524080057,9,3,10,mom_12_1,k7_5_5,conv,tight,6
mom_12_1|k7_5_5|conv|loose|h1,0.13158650393308347,0.1194382410561079,1.2148262876975569,0.6203794118598744,-0.6893221543107446,36,0.17257934816757498,0.16514755446836304,0.004730050689618626,0.3766930565922384,2.4519150828140357,10,7,10,mom_12_1,k7_5_5,conv,loose,1
mom_12_1|k7_5_5|conv|loose|h3,0.10057169229023222,0.1194382410561079,-1.886654876587568,0.4813242505962532,-0.894682471191265,24,0.16520947456832413,0.15974208740056783,-0.14867662316361352,0.47065792137852225,1.714927722888951,9,7,10,mom_12_1,k7_5_5,conv,loose,3
mom_12_1|k7_5_5|conv|loose|h6,0.1110740406658357,0.1194382410561079,-0.8364200390272192,0.508806908111659,-0.8630619195421817,21,0.18685929869061463,0.20717728584324857,-0.04701157332503658,0.4069620406376482,3.8799101351180014,9,6,10,mom_12_1,k7_5_5,conv,loose,6
mom_12_1|k7_5_5|conv|none|h1,0.1328594091778561,0.1194382410561079,1.3421168121748206,0.625041846175351,-0.7826037635941733,0,0.1773322382054836,0.1815028796879785,-0.11845578343118224,0.32137552656562085,2.927204086604899,9,6,10,mom_12_1,k7_5_5,conv,none,1
