date,ret_m,n_picks,scale,picks,pick_ret_min,pick_ret_max,pick_ret_mean,top_w_pick,top_w,reason
2010-11-30,0.1032955178585555,30,1.0,"EP,BAC,ZION,WHR,HIG,TLAB,RF,AIZ,CHK,THC,CRM,BA,SVU,MTB,GNW,DO,ISRG,ADM,PXD,PGR,BXP,AFL,VTR,MEE,TWX,COP,GT,NI,NWL,LSI",-0.5,0.6397059270392386,0.09836808419878904,PGR,0.05,ok
2010-12-31,0.044982055560518465,29,1.0,"EP,CPWR,THC,GR,ISRG,LB,WDC,MRK,AES,MYL,FIS,LEG,BIG,EBAY,GS,PFE,RRC,PDCO,GPS,MOLX,GILD,CME,PRU,DTE,HAL,BEN,EOG,TLAB,WU",-0.21828908160392543,0.866666567325596,0.07408903688517916,MRK,0.05,ok
2011-01-31,0.026840732447702947,30,1.0,"TIE,EP,CPWR,GR,BBBY,SVU,F,WHR,URBN,CRM,OI,AIG,AKAM,BBY,TMUS,R,AMZN,MUR,ZION,CLF,EXPD,X,DISCA,JWN,LB,MAR,EXPE,XRX,CF,TSN",-0.47500010077478755,831.8912298290297,27.74564293979859,DISCA,0.05,ok
2011-02-28,0.0032258230842586583,30,1.0,"AIG,TIE,GR,EP,CPWR,ETFC,ZION,X,GT,IGT,WHR,CHK,AKAM,AIV,WDC,DHI,BIG,MAS,ARNC,PHM,DISCA,DFS,F,BBY,TLAB,XRX,PXD,ANTM,ANF,IPG",-0.24999995343387021,0.2194244121574148,-0.01048030676472316,DISCA,0.04999999999999999,ok
2011-03-31,-0.001,30,1.0,"EP,CPWR,TIE,AIG,GR,X,C,AIV,IP,LM,IGT,RRD,CMA,MAR,COF,EOG,HST,BA,MET,LNC,CMI,ETFC,MTB,SPG,XRX,FTI,PFG,BBY,LB,ARNC",0.0,0.0,0.0,BA,0.047036057770551115,ok
2011-04-29,0.0,0,0.0,,,,,,,regime
2011-05-31,-0.00977124122894488,29,1.0,"TIE,EP,AIG,MEE,THC,GNW,CLF,JNPR,EBAY,AFL,SYMC,DE,FCX,BBBY,C,WDC,EXPE,HES,X,DD,URBN,DFS,ETN,ROK,TXT,DNR,PCAR,JEF,CHK",-0.16578484031253607,0.12206371535380894,-0.010286518480502407,DE,0.05,ok
2011-06-30,-0.001,29,1.0,"TIE,SYMC,AIG,ETN,ANF,ETFC,ROK,TXT,DE,JNPR,VIAV,CHK,FLR,NOV,CF,MYL,HES,FCX,CMI,KMX,CAT,CTSH,TER,WU,TGT,WY,SWK,SLB,ADSK",0.0,0.0,0.0,WU,0.05,ok
2011-07-29,0.0,0,0.0,,,,,,,regime
2011-08-31,-0.02588835641050932,29,0.3795346148550157,"TIE,EP,SYMC,CMG,CAH,BKNG,TSN,AAPL,EQR,MAT,RL,NOV,MRK,AVB,AXP,EIX,MCK,UNH,PCAR,KLAC,VTR,CF,AZO,BXP,SPG,VFC,LOW,EL,PH",-0.3351749522613981,0.04395698353842279,-0.08210384751894183,MRK,0.05000000000000002,ok
2011-09-30,0.0,0,0.0,,,,,,,regime
2011-10-31,0.09428600545738827,28,0.6221372306596,"TMUS,MAS,EP,SYMC,OI,TIE,TER,ATI,THC,CMG,WDC,NBR,AMZN,KDP,AMT,FLS,LNC,VIAV,TGT,ADSK,ETN,URBN,SEE,PHM,EIX,MRK,DE,OKE",-0.5102041023200905,0.7275132960933601,0.1602511017720482,KDP,0.04999999999999999,ok
2012-03-30,0.0,0,0.0,,,,,,,regime
2012-05-31,-0.001,30,1.0,"FSLR,WDC,CNX,FLR,CMI,MU,MA,FAST,FCX,RRC,CRM,WYNN,MCK,FFIV,PRU,CAT,BXP,ANDV,AXP,CLF,TPR,FTI,HP,SPG,VRSN,AIG,MAT,HUM,EQT,EQR",0.0,0.0,0.0,MCK,0.049899291505398485,ok
2012-06-29,0.0,0,0.0,,,,,,,regime
2012-07-31,0.04018771726333178,30,1.0,"FSLR,TPR,EA,HUM,SBUX,MAS,HPQ,MNST,DHI,NEM,TSN,MCK,LRCX,BIIB,LOW,ORLY,DLTR,ANF,KLAC,OKE,CBE,CMG,ANTM,UNH,WMB,ETR,FIS,WDC,EFX,LEN",-0.11261670665149522,0.2863577747869253,0.05329279800745742,ETR,0.05,ok
2012-08-31,-0.001,30,1.0,"AMD,CBE,CMG,FSLR,ATGE,CLF,X,TIE,RRD,STX,MNST,FE,RRC,CAH,OI,AEE,RSG,OXY,PNW,ETR,DTE,ORLY,URBN,BIG,ES,YUM,ISRG,AVB,NSC,DUK",0.0,0.0,0.0,FE,0.05000000000000001,ok
2012-09-28,0.0,0,0.0,,,,,,,regime
2012-10-31,0.02911090364047592,30,1.0,"ATI,WU,MU,AIG,NTAP,JBL,VRSN,ANF,AMD,WDC,FSLR,VIAV,TMUS,MNST,CTSH,FFIV,FHN,GHC,JCP,BIG,BAC,NRG,RRC,TIE,AN,OXY,NSC,CSCO,TDC,CBRE",-0.252811313492724,0.5066697992534004,0.04058745583293255,GHC,0.05,ok
2012-11-30,0.05739727903492627,28,1.0,"ATI,CLF,NFX,VRSN,TIE,AIG,WU,RRD,CHK,CMG,X,ANF,STX,FOSL,NE,AKAM,JWN,IRM,HES,FTR,CTXS,JNPR,ABC,BKNG,COG,QEP,OKE,C",-0.9981238636103543,0.3415652714551373,0.03069145517033051,JWN,0.05,ok
2012-12-31,0.06535747444756562,30,1.0,"AIG,AMD,EXPE,GME,TPR,PHM,KO,MO,MSFT,GNW,FTR,OKE,CNP,FAST,FOSL,HAS,PGR,PEP,VLO,KSS,PNR,BIIB,YUM,MCK,COG,LOW,GHC,LDOS,RRC,CCL",-0.08124655298747156,0.28165293373257244,0.0700674087520436,KO,0.05000000000000001,ok
2013-01-31,-0.002394198715398226,30,1.0,"AMD,NFLX,FSLR,JCP,BBY,JBL,MNST,EQR,AVB,GRMN,FOSL,EL,GD,GME,TMUS,MSFT,NTAP,CMI,EXC,VRSN,DVN,QEP,YUM,NSC,F,NBR,STX,FAST,HUM,LMT",-0.1357599724170928,0.13822337488354663,-0.0031590966034341287,EQR,0.05,ok
2013-02-28,-0.001,30,1.0,"FSLR,BBBY,X,STX,JCP,NFX,NE,AVB,TDC,AMD,FOSL,HPQ,ANF,FE,ISRG,UNH,EQR,JWN,AET,CF,OKE,AAPL,COF,DISCA,QEP,ANTM,WYNN,AN,DNR,JNPR",0.0,0.0,0.0,AVB,0.05,ok
2013-03-28,0.0,0,0.0,,,,,,,regime
2013-04-30,-0.01352953819935086,30,1.0,"JCP,CLF,NEM,BBBY,EW,BKNG,NOV,DLTR,FDX,EXPE,YUM,DTE,DGX,EIX,CSX,NFLX,MSI,PEG,MO,WMT,PH,ICE,EQR,T,AEE,PRGO,RRC,FE,PCG,TMUS",-0.15275887476643477,0.24615389553047679,0.008983983180375394,DTE,0.04999999999999999,ok
2013-05-31,-0.001,30,1.0,"NFLX,PHM,EW,ATI,OKE,PPL,T,AES,VMC,LEN,AKAM,SO,DHI,WELL,DRI,FE,DGX,INTC,KMB,YUM,DLTR,VZ,REGN,NOV,ROST,EXC,FCX,STX,DVN,VNO",0.0,0.0,0.0,PPL,0.04999999999999999,ok
2013-06-28,0.0,0,0.0,,,,,,,regime
2013-07-31,-0.001,30,1.0,"PHM,NFLX,JCP,CLF,DHI,NEM,FSLR,MOS,EXPE,LEN,GT,ANDV,JEF,ATI,DLTR,TPR,NFX,VTR,NOV,SO,EQR,CCL,LDOS,FFIV,DRI,QEP,APA,AMT,CAH,CMG",0.0,0.0,0.0,VTR,0.05,ok
2013-08-30,0.0,0,0.0,,,,,,,regime
2013-09-30,0.0341122717950974,30,1.0,"JCP,HPQ,NEM,EA,CLF,TSN,GNW,DE,SEE,ANDV,OKE,MNST,RL,SYMC,RF,CAT,MAC,JBL,STT,JWN,PVH,NBR,NFLX,ANF,JPM,SO,APH,IP,FLIR,ED",-0.1477272911997862,0.2526826580772052,0.039837188168518875,MAC,0.05000000000000001,ok
2013-10-31,-0.001,30,1.0,"JCP,NEM,SYMC,XYL,CF,ISRG,TSN,EQR,LB,FTI,EXPE,CSCO,DVA,LEN,X,IBM,URBN,VMC,THC,RL,VRTX,PVH,REGN,ORCL,NFLX,VIAV,VTR,JWN,DISCA,WELL",0.0,0.0,0.0,EQR,0.05000000000000001,ok
2013-11-29,0.0,0,0.0,,,,,,,regime
2013-12-31,-0.03249020964611018,30,1.0,"NEM,PM,IBM,DISCA,EMN,JCI,NI,BMY,TWX,WYNN,HD,GWW,CMCSA,PXD,IP,SHW,CMS,UNP,SYMC,RL,EXC,MPC,DFS,PPG,CCI,FITB,CTL,PVH,ADS,ISRG",-0.1176730856509574,0.1195098476801628,-0.03372255453666863,CMS,0.049064062409030974,ok
2014-01-31,0.07066336823760816,30,1.0,"CLF,DO,VFC,TRIP,AMP,AMZN,MA,M,AXP,DIS,GWW,EL,FISV,BA,SBUX,PXD,SNA,BWA,HD,TSCO,YUM,TWX,PNR,ADS,BKNG,PPG,NWL,V,ETN,ABC",-0.007290000643901528,0.298613713001124,0.0763691039234821,ABC,0.043516441917225056,ok
2014-02-28,-0.003503196791488421,30,1.0,"DO,CLF,X,MU,THC,CMCSA,PXD,AMP,KSU,SBUX,GNW,JNPR,A,WYNN,RTN,UTX,MHK,DHI,COG,MPC,DFS,OKE,VRTX,CRM,WMB,BMY,LM,FIS,BF.B,NWL",-0.12540192076563422,0.14092661427022038,-0.005722743198083311,RTN,0.05,ok
2014-03-31,-0.01682089214725464,30,1.0,"TRIP,WYNN,BIIB,NFLX,GT,NFX,CMG,MYL,REGN,ALXN,FFIV,ETFC,XYL,MU,EXPE,TMO,AGN,SBUX,SHW,BKNG,AKAM,VRTX,AME,AXP,ABC,COG,M,ADBE,ANDV,ADS",-0.12243638645659911,0.15938629975975446,-0.015118008862987819,TMO,0.05000000000000002,ok
2014-04-30,-0.001,30,1.0,"NFLX,ISRG,BBBY,TRIP,BIIB,TSCO,BKNG,DISCA,JCI,DO,OKE,BMY,M,STZ,UNH,SBUX,WYNN,LB,EL,PPG,PNR,EXPE,DFS,TJX,BF.B,FSLR,ROST,IFF,HUM,UNP",0.0,0.0,0.0,IFF,0.049306788618386964,ok
2014-05-30,0.0,0,0.0,,,,,,,regime
2014-06-30,0.04297400039628213,30,1.0,"TDC,DISCA,ALXN,VRTX,CNX,TXT,ORCL,HP,CF,LUV,COG,AIZ,DAL,NOC,GD,VLO,HOG,AME,PSX,PNR,CERN,EL,FLS,CTL,PH,MCK,NTAP,ROST,BA,FAST",-0.2471433868121448,0.28619682003803393,0.04468109588870675,AME,0.04602737710093926,ok
2014-10-31,0.009789452684582107,30,1.0,"NBL,JWN,MUR,MYL,VRTX,COG,QEP,AET,PXD,KSS,DFS,WYNN,GM,BHGE,RTN,UTX,NEM,DNR,WBA,ANTM,DISCK,BRK.B,FE,BMS,BLL,MMC,TPR,CTXS,ABC,PVH",-0.32957410313462776,0.1121983191632612,0.004726874715826875,BRK.B,0.05,ok
2014-11-30,-0.07439476468266971,30,1.0,"HP,BBBY,FSLR,HAL,VRSN,BKNG,FLS,EQT,L,GME,WYNN,UAA,COP,MOS,THC,MAT,UNP,PNR,BIIB,GE,VMC,VRTX,APA,VLO,RRC,EMR,FFIV,EW,EMN,CNX",-0.2946621691334586,0.2647794877125317,-0.07451822919922452,L,0.05,ok
2015-01-31,0.09597111607969555,30,1.0,"RRC,URI,AIG,MET,BKNG,AXP,UNM,FLS,IBM,TRIP,WYNN,FCX,ACN,CTSH,FMC,GM,OI,PRU,CNX,RF,BEN,IRM,QCOM,CVX,BLK,CCL,TROW,GNW,AON,ETN",-0.07756014410297697,0.3318907688204801,0.10334310784201223,ACN,0.04930393006091015,ok
2015-02-28,-0.018212502268275886,30,1.0,"FSLR,GNW,ISRG,NEM,IRM,HAL,INTC,WYNN,LYB,KIM,HRB,SLB,DVN,PNW,EQT,MAS,HST,BBY,APA,XYL,BXP,BEN,HP,STT,JEF,GME,XOM,PWR,COP,MAC",-0.18132305678692562,0.040978854693416764,-0.018623613122373834,KIM,0.04999999999999999,ok
2015-03-31,0.021559523328163813,30,1.0,"RIG,GNW,STX,KSU,WYNN,HAR,ALXN,BLL,FOSL,ARNC,HPQ,ANDV,KSS,THC,SYMC,CTL,LB,ANTM,DISCA,JWN,NE,FLR,QEP,HP,XRX,ESRX,MYL,ATI,CERN,FTR",-0.11765169506524206,0.2828903387653335,0.034513292379109294,CERN,0.04785742408337458,ok
2015-04-30,-0.001,30,1.0,"KSU,ALXN,SYMC,LM,GNW,FCX,AMAT,AXP,MSI,ANDV,HSY,AN,TAP,VLO,TRIP,LH,ZBH,BRK.B,FTR,BA,GPC,EL,UNP,NFX,TPR,AGN,XRX,URBN,DHI,A",0.0,0.0,0.0,HSY,0.05,ok
2015-05-29,0.0,0,0.0,,,,,,,regime
