date,ret_m,n_picks,picks,reason
2015-11-30,-0.006647223266961031,30,"MO,FISV,AZO,HRL,CLX,LMT,PSA,KDP,NOC,CTAS,HD,ORLY,EFX,SBUX,BF.B,CINF,V,MA,ROP,ECL,EQIX,NI,VRSN,ACN,CMCSA,HSIC,ADBE,LB,CMS,UAA",ok
2015-12-31,-0.001,30,"HRL,HD,STZ,LMT,CLX,PSA,FISV,AZO,KDP,EFX,SNA,NOC,SBUX,V,ORLY,ROP,CINF,EQIX,VRSN,HSIC,NI,TRV,ECL,ACN,ADBE,BF.B,DHR,NWL,ATVI,LB",ok
2016-01-29,0.0,0,,regime
2016-02-29,0.055118394897829985,30,"KMB,HRL,CLX,MO,PSA,NI,CMS,EXR,NEE,NOC,FISV,WEC,HD,ORLY,LMT,CINF,HSIC,AZO,EFX,SBUX,CB,JNJ,EQIX,FRT,CTAS,NDAQ,T,MDT,ACN,ADBE",ok
2016-03-31,-0.001,30,"KMB,AWK,HRL,MO,NI,PSA,CINF,CMS,NOC,HSIC,MKC,NEE,FISV,EXR,LMT,HD,EFX,CB,ORLY,PAYX,JNJ,AZO,T,NDAQ,O,MMC,VRSN,TJX,EQIX,VZ",ok
2016-04-29,0.0,0,,regime
2016-05-31,0.05499932535402196,30,"AWK,MO,CMS,NEE,NI,NOC,LMT,CINF,STZ,MMC,CHD,SYK,SYY,EFX,PSA,WM,EXR,HSIC,FISV,HD,EQIX,PGR,T,JNJ,O,AVY,CB,TJX,OMC,CVS",ok
2016-06-30,-0.001,30,"AWK,NI,CINF,CHD,CMS,FISV,NEE,LMT,NOC,SYK,MO,MMC,SYY,EFX,MKC,WM,EQIX,HSIC,AVY,O,CB,JNJ,BDX,AON,T,EXR,HD,LOW,CMCSA,CCI",ok
2016-07-29,0.0,0,,regime
2016-08-31,-0.011614762553119051,30,"CINF,LMT,AWK,NOC,ITW,EFX,NI,BDX,GIS,NEE,JNJ,MMC,MO,STZ,MDT,LNT,EQIX,SYY,CMCSA,ZBH,FISV,CCI,T,NWL,O,FIS,KIM,FBHS,HD,SPGI",ok
2016-09-30,-0.04322133712723515,30,"CINF,CTAS,ITW,EFX,MMC,BDX,PAYX,CME,MDT,AWK,GIS,SPGI,MO,NDAQ,NEE,CHTR,JNJ,SYY,ZBH,IFF,NI,EQIX,NWL,CHD,AVY,CCI,CMS,T,CMCSA,FBHS",ok
2016-10-31,-0.00608186986278625,30,"CTAS,CINF,ITW,EFX,TDG,MMC,BDX,NEE,APH,SPGI,AON,IFF,MDT,CHTR,SYK,DTE,JNJ,LNT,AWK,TAP,ADBE,PEP,STZ,MO,TXN,AVGO,FIS,CMCSA,T,CCI",ok
2016-11-30,-0.001,30,"NOC,ITW,APH,WM,MO,LMT,NEE,SYK,TWX,STZ,CINF,DTE,PEP,UNH,CHTR,SPGI,MMC,ADBE,TXN,AWK,AON,FIS,COO,CMS,TSN,JNJ,ROST,CMCSA,BRK.B,NVDA",ok
2016-12-30,0.0,0,,regime
2017-01-31,0.03785814869396361,29,"RSG,UNH,WM,ADP,CTAS,TWX,APH,CME,CHTR,JPM,MO,BRK.B,ALL,SYY,MMC,CMCSA,SYK,AJG,NVDA,ADBE,HD,ALK,TXN,DTE,MTD,BDX,DIS,CAG,AEE",ok
2017-02-28,0.0031431500242937753,27,"RSG,GD,CMCSA,UNH,NOC,MO,CME,ITW,TWX,JPM,ALL,ADBE,MTB,SYK,CHTR,MMC,TXN,APH,AVGO,BRK.B,DIS,BDX,DTE,HD,MTD,ALK,AMZN",ok
2017-03-31,-0.001,30,"RSG,MO,GD,WM,UNH,ALL,CME,NOC,PGR,JPM,SNPS,MMC,TWX,CMCSA,BRK.B,HD,SYK,MTD,AVGO,CLX,CHTR,DIS,TXN,ADBE,BDX,COST,DTE,HAS,NEE,AWK",ok
2017-04-28,0.0,0,,regime
2017-05-31,-0.00940902496250046,30,"RSG,ADBE,HD,PGR,ALL,SNPS,SYK,MTD,CMCSA,GD,MMM,ITW,LRCX,CBOE,MO,AVGO,GOOGL,CHTR,FISV,GOOG,DXC,COST,COO,UNH,AMZN,MMC,NEE,CLX,PEP,DTE",ok
2017-06-30,0.02796970570004422,30,"RE,ADBE,MTD,GD,PGR,ITW,RSG,INFO,ALL,MMM,SYK,MA,SNPS,HD,V,CMCSA,EA,GOOGL,MMC,ROP,AVGO,GOOG,MO,UNH,AET,NEE,MAR,BDX,PEP,BKNG",ok
2017-09-29,0.0,0,,regime
2017-10-31,0.032486320814087,30,"LMT,NOC,PGR,CBOE,UNH,AON,MMC,MTD,CTAS,CME,WM,APH,AVY,NEE,CI,ROP,HD,CDNS,DWDP,EA,SNPS,AEE,AET,BRK.B,AWK,BSX,SHW,NI,MCD,STZ",ok
2017-11-30,0.04599833946880844,29,"NOC,CBOE,UNH,V,MA,PGR,LMT,AVY,MMM,MSFT,WM,BDX,STZ,SNPS,AWK,ADBE,AEE,APH,MTD,SYK,NEE,MMC,HD,NI,SHW,MAR,DWDP,AET,DXC",ok
2018-01-31,-0.026764198527741718,30,"HD,CBOE,NOC,WM,AVY,STZ,LMT,UNH,CME,MA,PGR,MMM,ACN,MSFT,MAR,APH,TXN,SHW,AWK,AET,SYK,NEE,BDX,GOOG,DHR,GOOGL,DXC,ANTM,MCD,AMZN",ok
