date,regime,action,ret_m,equity,picks,n_picks,months_held,year
2007-06-29,bull,hold_min,0.08002602930974825,4.2205591762801635,"NVDA,CFC,CAG",3,6,2007
2007-07-31,bull,tactical_reb,0.07504729390079967,4.537300721208179,"NVDA,AMZN,NI",3,1,2007
2007-08-31,bull,hold_min,0.04196953471890843,4.727729121357053,"NVDA,AMZN,NI",3,2,2007
2007-09-28,bull,hold_min,0.06852320851289502,5.051688289732289,"NVDA,AMZN,NI",3,3,2007
2007-10-31,bull,hold_min,0.013529189089494582,5.1200335358252635,"NVDA,AMZN,NI",3,4,2007
2007-11-30,normal,hold_min,-0.07337782524107342,4.744336609805043,"NVDA,AMZN,NI",3,5,2007
2007-12-31,normal,hold_min,0.042100198556405656,4.944074123096259,"NVDA,AMZN,NI",3,6,2007
2008-01-31,normal,tactical_reb,-0.13322514215247513,4.285399145234386,"MBI,MTG,AMZN",3,1,2008
2008-02-29,normal,hold_min,-0.17536125697113666,3.5339061645030494,"MBI,MTG,AMZN",3,2,2008
2008-03-31,normal,hold_min,-0.0743240406896315,3.271251978939185,"MBI,MTG,AMZN",3,3,2008
2008-04-30,normal,hold_min,0.058106538587192336,3.4613331082818446,"MBI,MTG,AMZN",3,4,2008
2008-05-30,normal,hold_min,-0.12483911458295574,3.029223347767269,"MBI,MTG,AMZN",3,5,2008
2008-06-30,normal,hold_min,-0.3161848647062977,2.071428773388317,"MBI,MTG,AMZN",3,6,2008
2008-07-31,normal,hold,0.14995435457679349,2.382048538153561,"MBI,MTG,AMZN",3,7,2008
2008-08-29,normal,tactical_reb,0.7175397575013459,4.091263068576703,"FMCC,FNMA,SLM",3,1,2008
2008-09-30,crash,hold,-0.5637691141656389,1.7847353125866217,,0,0,2008
2008-10-31,crash,hold,0.0,1.7847353125866217,,0,0,2008
2008-11-28,crash,hold,0.0,1.7847353125866217,,0,0,2008
2008-12-31,normal,init,-0.001,1.782950577274035,"MBI,GNW,THC",3,1,2008
2009-01-30,crash,hold,-0.11023030095807258,1.586415398547749,,0,0,2009
2009-02-27,crash,hold,0.0,1.586415398547749,,0,0,2009
2009-03-31,normal,init,-0.001,1.5848289831492013,"GNW,TGNA,MTW",3,1,2009
2009-04-30,normal,hold_min,0.6871592913407757,2.6738589441063287,"GNW,TGNA,MTW",3,2,2009
2009-05-29,recovery,hold_min,0.4294238198082795,3.822077665513001,"GNW,TGNA,MTW",3,3,2009
2009-06-30,recovery,hold_min,-0.1391889318103238,3.29008675795415,"GNW,TGNA,MTW",3,4,2009
2009-07-31,recovery,hold_min,0.4517003257913738,4.776220018403925,"GNW,TGNA,MTW",3,5,2009
2009-08-31,recovery,hold_min,0.23084599744443088,5.8787912925664365,"GNW,TGNA,MTW",3,6,2009
2009-09-30,recovery,tactical_reb,0.3778994845548765,8.10038349183299,"HBAN,FITB,SLM",3,1,2009
2009-10-30,recovery,hold_min,-0.05540324663974394,7.651595947358456,"HBAN,FITB,SLM",3,2,2009
2009-11-30,recovery,hold_min,0.08861016900112542,8.329605157382215,"HBAN,FITB,SLM",3,3,2009
2009-12-31,recovery,hold_min,-0.012984684251152163,8.221447864476838,"HBAN,FITB,SLM",3,4,2009
2010-01-29,recovery,hold_min,0.1601959221581052,9.53849028660149,"HBAN,FITB,SLM",3,5,2010
2010-02-26,recovery,hold_min,0.018728411187832684,9.717131054800111,"HBAN,FITB,SLM",3,6,2010
2010-03-31,bull,hold,0.11817862376167633,10.865488229768236,"HBAN,FITB,SLM",3,7,2010
2010-04-30,bull,hold,0.10404085914756031,11.995942960251027,"HBAN,FITB,SLM",3,8,2010
2010-05-31,crash,hold,-0.10227412324758398,10.769068411463325,,0,0,2010
2010-06-30,normal,init,-0.001,10.758299343051862,"NVDA,HBAN,NDAQ",3,1,2010
2010-07-30,normal,hold_min,0.04287819076396253,11.219595754579053,"NVDA,HBAN,NDAQ",3,2,2010
2010-08-31,normal,hold_min,-0.06994413025203736,10.43485088774557,"NVDA,HBAN,NDAQ",3,3,2010
2010-09-30,normal,hold_min,0.12604063580263697,11.750066128142732,"NVDA,HBAN,NDAQ",3,4,2010
2010-10-29,normal,hold_min,0.04055362494245425,12.226573902952468,"NVDA,HBAN,NDAQ",3,5,2010
2010-11-30,bull,hold_min,0.05258709564706731,12.869533914222966,"NVDA,HBAN,NDAQ",3,6,2010
2010-12-31,normal,hold,0.13664462823828957,14.628086591532023,"NVDA,HBAN,NDAQ",3,7,2010
2011-01-31,bull,hold,0.17758270443390667,17.22578176914965,"NVDA,HBAN,NDAQ",3,8,2011
