date,ret_m,equity,regime,cash,picks,weights,n_picks
2010-06-30,-0.07770314846144735,6.775599739428317,normal,False,"NVDA,HBAN,TGNA","0.397,0.400,0.203",3
2010-07-30,-0.006372936906201482,6.732419269787266,normal,False,"NVDA,HBAN,TGNA","0.397,0.400,0.203",3
2010-08-31,-0.060863341335768525,6.322661737754697,normal,False,"NVDA,HBAN,TGNA","0.397,0.400,0.203",3
2010-09-30,0.1332150029100268,7.164935139548804,recovery,False,"NVDA,HBAN,TGNA","0.397,0.400,0.203",3
2010-10-29,0.0031659998313553145,7.187619322992288,recovery,False,"NVDA,HBAN,TGNA","0.397,0.400,0.203",3
2010-11-30,0.08683161628601123,7.811731926056273,recovery,False,"NVDA,HBAN,TGNA","0.397,0.400,0.203",3
2010-12-31,0.15377285654631392,9.012964258899984,recovery,False,"NFLX,JBL,AZO","0.357,0.243,0.400",3
2011-01-31,0.05138204570743517,9.476068800410264,recovery,False,"NFLX,JBL,AZO","0.357,0.243,0.400",3
2011-02-28,0.01017133386314761,9.572453059889392,recovery,False,"NFLX,JBL,AZO","0.357,0.243,0.400",3
2011-03-31,0.0665281325129578,10.209290485531783,recovery,False,"NFLX,JBL,AZO","0.357,0.243,0.400",3
2011-04-29,-0.0017959413793300072,10.190955198295216,recovery,False,"NFLX,JBL,AZO","0.357,0.243,0.400",3
2011-05-31,0.09710824710622143,11.1805809939397,recovery,False,"NFLX,JBL,AZO","0.357,0.243,0.400",3
2011-06-30,-0.02608801328177281,10.888901848471864,recovery,False,"NVDA,CMG,BKNG","0.216,0.394,0.389",3
2011-07-29,0.011876517282339225,11.018224079460936,recovery,False,"NVDA,CMG,BKNG","0.216,0.394,0.389",3
2011-08-31,-0.02203899802020424,10.775393460787528,normal,False,"NVDA,CMG,BKNG","0.216,0.394,0.389",3
2011-09-30,-0.08973128083640468,9.808503604034843,crash,False,"NVDA,CMG,BKNG","0.216,0.394,0.389",3
2011-10-31,0.1332481041171305,11.115468113498528,normal,False,"NVDA,CMG,BKNG","0.216,0.394,0.389",3
2011-11-30,-0.021679010207843706,10.874495766801033,normal,False,"NVDA,CMG,BKNG","0.216,0.394,0.389",3
2011-12-30,-0.0202327825865212,10.654474458213302,recovery,False,"NFLX,NVDA,DLTR","0.298,0.302,0.400",3
