entry_idx,entry_date,regime,picks,weights,initial_capital,nav,status,exit_date,exit_nav,return_pct
68,2009-05-29,recovery,"RF,GNW,ORLY","0.400,0.200,0.400",1.0,1.3544877994030016,exited,2009-11-30,1.3544877994030016,35.448779940300156
69,2009-06-30,recovery,"MTW,F,AN","0.346,0.254,0.400",80.36963416692339,121.96590644841268,exited,2009-12-31,121.96590644841268,51.75620458231287
70,2009-07-31,recovery,"KIM,HBAN,AN","0.320,0.280,0.400",1.0,1.0937418387681943,exited,2010-01-29,1.0937418387681943,9.37418387681943
71,2009-08-31,recovery,"HBAN,FITB,F","0.365,0.346,0.289",1.0,1.2193783614004774,exited,2010-02-26,1.2193783614004774,21.93783614004774
72,2009-09-30,recovery,"HBAN,FITB,F","0.364,0.346,0.290",33.72754849652821,46.769436330227926,exited,2010-03-31,46.769436330227926,38.66835395712855
73,2009-10-30,recovery,"HBAN,BAC,GNW","0.396,0.384,0.220",3.249342660245291,4.92873462162661,exited,2010-04-30,4.92873462162661,51.684052344745425
74,2009-11-30,recovery,"HBAN,FITB,GNW","0.393,0.381,0.227",2.3544877994030013,3.4245722881533442,exited,2010-05-31,3.4245722881533442,45.44871666022949
75,2009-12-31,recovery,"FITB,HBAN,GNW","0.372,0.382,0.246",122.96590644841268,163.97710701094564,exited,2010-06-30,163.97710701094564,33.35168401311155
76,2010-01-29,recovery,"NVDA,LNC,F","0.400,0.318,0.282",2.093741838768194,1.8996886158680903,exited,2010-07-30,1.8996886158680903,-9.268249757776758
77,2010-02-26,recovery,"NVDA,RF,GNW","0.400,0.400,0.200",2.2193783614004774,1.6594970400580786,exited,2010-08-31,1.6594970400580786,-25.226943322503203
78,2010-03-31,recovery,"CAG,NVDA,GNW","0.400,0.400,0.200",47.769436330227926,36.15717071301239,exited,2010-09-30,36.15717071301239,-24.308986057403892
79,2010-04-30,recovery,"PFG,HBAN,GNW","0.346,0.400,0.254",5.92873462162661,4.9038398500174285,exited,2010-10-29,4.9038398500174285,-17.2869058410982
81,2010-06-30,normal,"NVDA,HBAN,TGNA","0.397,0.400,0.203",169.401679299099,224.3142851868514,exited,2010-12-31,224.3142851868514,32.41562073938926
82,2010-07-30,normal,"HBAN,KDP,AKAM","0.242,0.400,0.358",2.89968861586809,3.255047866155492,exited,2011-01-31,3.255047866155492,12.255083126607257
83,2010-08-31,normal,"NVDA,HST,CLF","0.307,0.400,0.293",2.6594970400580786,4.708567929029726,exited,2011-02-28,4.708567929029726,77.04730849886188
84,2010-09-30,recovery,"HST,NVDA,AKAM","0.353,0.247,0.400",37.15717071301239,41.700097169268666,exited,2011-03-31,41.700097169268666,12.226244272859411
85,2010-10-29,recovery,"HST,AMZN,AKAM","0.313,0.287,0.400",5.9038398500174285,5.648374574905496,exited,2011-04-29,5.648374574905496,-4.327103742679917
86,2010-11-30,recovery,"AMZN,ORLY,AKAM","0.268,0.400,0.332",1.0,0.9151819963777869,exited,2011-05-31,0.9151819963777869,-8.481800362221314
87,2010-12-31,recovery,"NFLX,JBL,FFIV","0.357,0.243,0.400",225.3142851868514,251.7184769168008,exited,2011-06-30,251.7184769168008,11.718827196443659
88,2011-01-31,recovery,"NVDA,ORLY,NFLX","0.296,0.400,0.304",4.255047866155492,4.114126920925858,exited,2011-07-29,4.114126920925858,-3.3118533483609935
89,2011-02-28,recovery,"GME,NFLX,TMUS","0.315,0.285,0.400",5.708567929029726,5.770721069100903,exited,2011-08-31,5.770721069100903,1.0887693874169324
