date,regime,action,ret_m,equity,picks,n_picks,months_held,year
2013-04-30,bull,hold,0.043671646707854825,28.906353496507258,"LYB,DHI,NFLX",3,8,2013
2013-05-31,bull,hold,0.024800140087215285,29.623235112631203,"LYB,DHI,NFLX",3,9,2013
2013-06-28,bull,hold,-0.06713180669131495,27.634573819478675,"LYB,DHI,NFLX",3,10,2013
2013-07-31,bull,hold,0.02586155888962236,28.349246977700737,"LYB,DHI,NFLX",3,11,2013
2013-08-30,bull,tactical_reb,-0.0032658341197678636,28.256663039651237,"AMD,ABT,HRL",3,1,2013
2013-09-30,bull,hold_min,0.03800109416938886,29.330447152733715,"AMD,ABT,HRL",3,2,2013
2013-10-31,bull,hold_min,0.032054837860691264,30.270629880596168,"AMD,ABT,HRL",3,3,2013
2013-11-29,bull,tactical_reb,0.04926798348246339,31.762002773557143,"ORLY,D,WU",3,1,2013
2013-12-31,bull,hold_min,0.02419353190016113,32.53043780087221,"ORLY,D,WU",3,2,2013
2014-01-31,bull,hold_min,-0.006304229124226474,32.32535846746411,"ORLY,D,WU",3,3,2014
2014-02-28,bull,tactical_reb,0.08525990140792516,35.081415343375944,"NVDA,NFLX,SLM",3,1,2014
2014-03-31,bull,hold_min,-0.06683664070183717,32.73669139075881,"NVDA,NFLX,SLM",3,2,2014
2014-04-30,bull,hold_min,0.0012150093747189897,32.77646677769586,"NVDA,NFLX,SLM",3,3,2014
2014-05-30,bull,tactical_reb,0.08570430273322269,35.585551008936925,"KDP,AVGO,NVDA",3,1,2014
2014-06-30,bull,hold_min,0.006817303928466363,35.828148525626794,"KDP,AVGO,NVDA",3,2,2014
2014-07-31,bull,hold_min,-0.027614536296548853,34.83877081772773,"KDP,AVGO,NVDA",3,3,2014
2014-08-29,bull,hold,0.11526831046232183,38.854577068471244,"KDP,AVGO,NVDA",3,4,2014
2014-09-30,bull,tactical_reb,0.009194177990507087,39.211812965784645,"LUV,NFLX,DAL",3,1,2014
2014-10-31,normal,hold_min,0.023490036263900976,40.13289987432423,"LUV,NFLX,DAL",3,2,2014
2014-11-30,bull,hold_min,0.12183263374756886,45.02239676594063,"LUV,NFLX,DAL",3,3,2014
2014-12-31,bull,hold,0.022907208549766474,46.05373419806836,"LUV,NFLX,DAL",3,4,2014
2015-01-31,bull,tactical_reb,0.0751107410031993,49.51286429964966,"CSX,AMAT,KDP",3,1,2015
2015-02-28,bull,hold_min,0.04377949419464364,51.680512454816345,"CSX,AMAT,KDP",3,2,2015
2015-03-31,normal,hold_min,-0.01939833909303256,50.677996349716125,"CSX,AMAT,KDP",3,3,2015
2015-04-30,normal,hold,-0.013856453270869425,49.97577906143499,"CSX,AMAT,KDP",3,4,2015
2015-05-29,normal,hold,-0.0029965757452827726,49.826022854047885,"CSX,AMAT,KDP",3,5,2015
2015-06-30,normal,hold,-0.04294322256993138,47.68633286485202,"CSX,AMAT,KDP",3,6,2015
2015-07-31,bull,tactical_reb,0.001660468471755266,47.765514517107725,"NFLX,COL,NVDA",3,1,2015
2015-08-31,normal,hold_min,0.05494056996048294,50.38977910913335,"NFLX,COL,NVDA",3,2,2015
2015-09-30,normal,hold_min,0.0009683326128455128,50.43857317559881,"NFLX,COL,NVDA",3,3,2015
2015-10-30,recovery,hold,0.07860669075553611,54.40338249936358,"NFLX,COL,NVDA",3,4,2015
2015-11-30,recovery,hold,0.07066678251667116,58.24789449861738,"NFLX,COL,NVDA",3,5,2015
2015-12-31,normal,hold,-0.04421893734662052,55.672234501210454,"NFLX,COL,NVDA",3,6,2015
2016-01-29,normal,hold,-0.15572144180160818,47.002873876364724,"NFLX,COL,NVDA",3,7,2016
2016-02-29,normal,hold,-0.010301850320376588,46.518657305062874,"NFLX,COL,NVDA",3,8,2016
2016-03-31,recovery,hold,0.08920233028993808,50.66822993863353,"NFLX,COL,NVDA",3,9,2016
2016-04-29,recovery,hold,0.01299829539644236,51.32683055859075,"NFLX,COL,NVDA",3,10,2016
2016-05-31,recovery,hold,0.08574647243472952,55.72792522024498,"NFLX,COL,NVDA",3,11,2016
2016-06-30,recovery,hold,-0.03729474953147829,53.64956620724699,"NFLX,COL,NVDA",3,12,2016
2016-07-29,recovery,max_hold,0.1071393122541385,59.3975438334243,"NVDA,COL,EXR",3,1,2016
2016-08-31,recovery,hold_min,-0.02721212552463612,57.78121041477408,"NVDA,COL,EXR",3,2,2016
2016-09-30,recovery,hold_min,0.032057805374961355,59.6335492125806,"NVDA,COL,EXR",3,3,2016
2016-10-31,recovery,tactical_reb,-0.08744753388126567,54.41874239735333,"NVDA,COL,MNST",3,1,2016
2016-11-30,recovery,hold_min,0.12697639401190983,61.328638073632284,"NVDA,COL,MNST",3,2,2016
2016-12-30,bull,hold_min,0.012435992954096435,62.09132058460031,"NVDA,COL,MNST",3,3,2016
