date,regime,cum_deposits,active_tranches,cash_pool,total_nav,current_picks,current_weights
2011-07-29,recovery,95.0,6,0.0,318.83981110783174,"CMG,F,NFLX","0.362,0.354,0.284"
2011-08-31,normal,96.0,6,0.0,307.2574884089173,"KDP,NI,CMG","0.400,0.400,0.200"
2011-09-30,crash,97.0,5,28.381601216747086,273.34779497250906,,
2011-10-31,normal,98.0,5,0.0,305.18843665277035,"MU,GNW,VFC","0.224,0.376,0.400"
2011-11-30,normal,99.0,5,0.0,300.80836436684234,"NFLX,TLAB,BIIB","0.219,0.400,0.381"
2011-12-30,recovery,100.0,5,0.0,297.02345658624256,"NFLX,NVDA,BIIB","0.298,0.302,0.400"
2012-01-31,recovery,101.0,5,0.0,370.0685387807606,"PHM,BBBY,BIIB","0.259,0.400,0.341"
2012-02-29,recovery,102.0,5,0.0,367.69883574460704,"BBBY,NVDA,BIIB","0.400,0.311,0.289"
2012-03-30,recovery,103.0,6,0.0,380.6188623133349,"NI,BBBY,AAPL","0.400,0.300,0.300"
2012-04-30,recovery,104.0,6,0.0,332.8523501871792,"NFLX,NVDA,AAPL","0.200,0.400,0.400"
2012-05-31,recovery,105.0,6,0.0,307.66830127351597,"NFLX,APH,ORLY","0.200,0.400,0.400"
2012-06-29,recovery,106.0,6,0.0,336.94839555798035,"NFLX,ORLY,MNST","0.200,0.400,0.400"
2012-07-31,recovery,107.0,6,0.0,324.11706926732546,"MU,CBRE,PHM","0.396,0.304,0.300"
2012-08-31,recovery,108.0,6,0.0,318.49376931012637,"LRCX,NFLX,PHM","0.400,0.213,0.387"
2012-09-28,recovery,109.0,6,0.0,305.03188785537145,"LYB,DHI,PHM","0.262,0.400,0.338"
2012-10-31,recovery,110.0,6,0.0,315.866767317946,"AMD,STZ,PHM","0.288,0.312,0.400"
2012-11-30,recovery,111.0,6,0.0,342.17952594461747,"VLO,AMD,PHM","0.373,0.227,0.400"
2012-12-31,recovery,112.0,6,0.0,351.1270091804624,"AMD,NFLX,PHM","0.373,0.227,0.400"
2013-01-31,recovery,113.0,6,0.0,435.3046318910064,"MKC,NFLX,BBBY","0.400,0.223,0.377"
2013-02-28,recovery,114.0,6,0.0,439.9472760392955,"OKE,HRL,BBBY","0.400,0.400,0.200"
2013-03-28,recovery,115.0,6,0.0,455.9591938530798,"KDP,NFLX,PHM","0.400,0.200,0.400"
2013-04-30,recovery,116.0,6,0.0,501.23423396376324,"HRL,NFLX,STZ","0.400,0.216,0.384"
2013-05-31,recovery,117.0,6,0.0,568.0254296833673,"NVDA,GME,FSLR","0.400,0.393,0.207"
2013-06-28,recovery,118.0,6,0.0,544.7916473192422,"CSX,NFLX,BBBY","0.400,0.288,0.312"
2013-07-31,recovery,119.0,6,0.0,618.1364657819801,"AMD,CSX,NFLX","0.336,0.400,0.264"
2013-08-30,recovery,120.0,6,0.0,613.5934130552151,"AMD,ABT,NFLX","0.340,0.400,0.260"
2013-09-30,recovery,121.0,6,0.0,653.3919270567147,"MNST,CSX,NFLX","0.400,0.400,0.200"
2013-10-31,recovery,122.0,6,0.0,639.9264364929674,"MNST,ORLY,NFLX","0.400,0.400,0.200"
2013-11-29,recovery,123.0,6,0.0,706.7293918858269,"ORLY,D,NFLX","0.400,0.400,0.200"
2013-12-31,recovery,124.0,6,0.0,740.7755385841378,"MNST,NEE,NFLX","0.400,0.400,0.200"
2014-01-31,recovery,125.0,6,0.0,774.0165346561921,"NFLX,NVDA,MU","0.218,0.400,0.382"
2014-02-28,recovery,126.0,6,0.0,824.2796484614719,"NVDA,NFLX,MU","0.400,0.375,0.225"
2014-03-31,recovery,127.0,6,0.0,778.4258817328098,"DAL,NFLX,MU","0.365,0.400,0.235"
2014-04-30,recovery,128.0,6,0.0,772.126967744019,"ORLY,NFLX,MU","0.400,0.320,0.280"
2014-05-30,recovery,129.0,6,0.0,825.3478988651025,"KDP,AVGO,MU","0.400,0.364,0.236"
2014-06-30,recovery,130.0,6,0.0,863.8793378855647,"NFLX,NVDA,MU","0.265,0.400,0.335"
2014-07-31,recovery,131.0,6,0.0,817.3997635433266,"NVDA,NFLX,MU","0.400,0.261,0.339"
2014-08-29,recovery,132.0,6,0.0,901.2084157843459,"NFLX,MNST,LUV","0.226,0.374,0.400"
2014-09-30,recovery,133.0,6,0.0,887.2564034496539,"LUV,NFLX,URI","0.400,0.200,0.400"
2014-10-31,recovery,134.0,6,0.0,872.4882426879818,"MU,GME,LUV","0.364,0.236,0.400"
2014-11-30,recovery,135.0,6,0.0,913.6679543860694,"COL,NVDA,LUV","0.200,0.400,0.400"
2014-12-31,recovery,136.0,6,0.0,888.4789138387561,"BBBY,GNW,EW","0.275,0.325,0.400"
2015-01-31,recovery,137.0,6,0.0,834.7140159554947,"CSX,AMAT,VRTX","0.400,0.359,0.241"
2015-02-28,recovery,138.0,6,0.0,880.9988284697376,"NVDA,COL,LUV","0.400,0.200,0.400"
2015-03-31,recovery,139.0,6,0.0,904.2966125995137,"COL,NVDA,SWKS","0.200,0.400,0.400"
2015-04-30,recovery,140.0,6,0.0,886.9982776096576,"NVDA,AVGO,MNST","0.400,0.362,0.238"
2015-05-29,recovery,141.0,6,0.0,876.6880261878316,"NFLX,NVDA,SWKS","0.200,0.400,0.400"
2015-06-30,recovery,142.0,6,0.0,884.5524929766999,"NFLX,NVDA,SWKS","0.200,0.400,0.400"
2015-07-31,recovery,143.0,6,0.0,889.5798835492229,"NFLX,COL,EA","0.368,0.232,0.400"
2015-08-31,normal,144.0,6,0.0,910.8320837630804,"COL,TGNA,NFLX","0.309,0.400,0.291"
2015-09-30,normal,145.0,6,0.0,915.3522694465222,"NFLX,GME,AMZN","0.229,0.400,0.371"
2015-10-30,recovery,146.0,6,0.0,970.7608997515405,"NVDA,GNW,NFLX","0.400,0.310,0.290"
2015-11-30,recovery,147.0,6,0.0,1070.0161159677125,"NVDA,COL,NFLX","0.400,0.304,0.296"
2015-12-31,normal,148.0,6,0.0,1037.676226063259,"NVDA,M,NFLX","0.382,0.386,0.232"
2016-01-29,normal,149.0,6,0.0,979.8065030289927,"NVDA,FCX,AMZN","0.400,0.200,0.400"
2016-02-29,normal,150.0,6,0.0,1030.236264941377,"NVDA,MU,AMZN","0.381,0.291,0.328"
2016-03-31,recovery,151.0,6,0.0,1122.3462612274798,"COL,NVDA,TSN","0.257,0.349,0.394"
2016-04-29,recovery,152.0,6,0.0,1073.31314066738,"NVDA,COL,HRL","0.329,0.271,0.400"
2016-05-31,recovery,153.0,6,0.0,1152.8523611022165,"NVDA,COL,EW","0.363,0.237,0.400"
2016-06-30,recovery,154.0,6,0.0,1149.1786281408235,"COL,NVDA,AMZN","0.259,0.356,0.385"
2016-07-29,recovery,155.0,6,0.0,1295.496323269322,"NVDA,COL,NEM","0.400,0.311,0.289"
2016-08-31,recovery,156.0,6,0.0,1307.1778425652906,"NVDA,AVGO,NEM","0.336,0.400,0.264"
2016-09-30,recovery,157.0,6,0.0,1396.24345745796,"NVDA,MNST,NEM","0.348,0.400,0.252"
2016-10-31,recovery,158.0,6,0.0,1320.9796685798274,"NVDA,COL,NEM","0.400,0.285,0.315"
2016-11-30,recovery,159.0,6,0.0,1514.8351114275167,"NVDA,LKQ,OKE","0.331,0.400,0.269"
2016-12-30,recovery,160.0,6,0.0,1602.4872285565398,"NVDA,COL,FCX","0.400,0.365,0.235"
2017-01-31,recovery,161.0,6,0.0,1753.683330890688,"NVDA,NAVI,OKE","0.329,0.272,0.398"
2017-02-28,recovery,162.0,6,0.0,1585.4883729677153,"NVDA,COL,MU","0.386,0.214,0.400"
2017-03-31,recovery,163.0,6,0.0,1588.6894828791787,"NVDA,KDP,AMD","0.341,0.400,0.259"
2017-04-28,recovery,164.0,6,0.0,1519.9474099146007,"COL,NVDA,AMD","0.274,0.400,0.326"
2017-05-31,recovery,165.0,6,0.0,1675.831201482249,"COL,NVDA,AMD","0.304,0.400,0.296"
2017-06-30,recovery,166.0,6,0.0,1723.8774339855813,"NVDA,COL,MU","0.295,0.305,0.400"
2017-07-31,recovery,167.0,6,0.0,1739.44009325061,"NVDA,CMG,MU","0.248,0.400,0.352"
2017-08-31,recovery,168.0,6,0.0,1839.665567203094,"NVDA,BSX,AMD","0.332,0.400,0.268"
2017-09-29,recovery,169.0,6,0.0,2011.6495827559706,"NVDA,COL,NRG","0.350,0.366,0.284"
2017-10-31,recovery,170.0,6,0.0,2133.993326224272,"NVDA,APH,MU","0.266,0.400,0.334"
2017-11-30,recovery,171.0,6,0.0,2131.3935932721456,"COL,NVDA,ALGN","0.333,0.267,0.400"
2017-12-29,recovery,172.0,6,0.0,2122.6876575488536,"NVDA,RF,ALGN","0.240,0.400,0.360"
2018-01-31,recovery,173.0,6,0.0,2475.513237922126,"NVDA,RF,ALGN","0.278,0.400,0.322"
2018-02-28,recovery,174.0,6,0.0,2471.53985391563,"NVDA,CSX,ALGN","0.257,0.400,0.343"
2018-03-29,recovery,175.0,6,0.0,2381.7717674153855,"NVDA,HPE,ALGN","0.266,0.400,0.334"
2018-04-30,recovery,176.0,6,0.0,2359.101648827075,"NVDA,KR,NRG","0.326,0.360,0.314"
2018-05-31,recovery,177.0,6,0.0,2680.4413909577056,"NVDA,LRCX,NFLX","0.294,0.400,0.306"
2018-06-29,recovery,178.0,6,0.0,2656.2932551251624,"NVDA,AMD,NFLX","0.400,0.276,0.324"
2018-07-31,recovery,179.0,6,0.0,2743.752870228716,"NVDA,AMD,NFLX","0.400,0.266,0.334"
2018-08-31,recovery,180.0,6,0.0,3252.4032489212645,"AMD,NVDA,NTAP","0.233,0.386,0.381"
2018-09-28,recovery,181.0,6,0.0,3501.6707466053826,"NVDA,ANET,ALGN","0.338,0.400,0.262"
2018-10-31,normal,182.0,6,0.0,2512.6337336341376,"NVDA,CPRT,AMD","0.387,0.400,0.213"
2018-11-30,recovery,183.0,6,0.0,2404.4393888148284,"NVDA,COTY,AMD","0.387,0.400,0.213"
2018-12-31,crash,184.0,5,1635.024504411122,2090.9997032469632,,
2019-01-31,normal,185.0,5,0.0,2161.454784931244,"COTY,IVZ,CMG","0.308,0.400,0.292"
2019-02-28,recovery,186.0,5,0.0,2556.707204312891,"NWL,COTY,AMD","0.330,0.400,0.270"
2019-03-29,recovery,187.0,5,0.0,2718.8494435331068,"CMG,KIM,AMD","0.400,0.400,0.200"
2019-04-30,recovery,188.0,5,0.0,2767.5573021342475,"NVDA,CMG,AMD","0.362,0.400,0.238"
2019-05-31,normal,189.0,5,0.0,2741.1882965310515,"COTY,CMG,AMD","0.320,0.400,0.280"
2019-06-28,recovery,190.0,6,0.0,2990.2444080563346,"COTY,CMG,AMD","0.323,0.400,0.277"
2019-07-31,recovery,191.0,6,0.0,2816.356946463854,"COTY,CMG,MKTX","0.210,0.390,0.400"
2019-08-30,recovery,192.0,6,0.0,2983.5532670257717,"CMG,NVDA,MKTX","0.379,0.221,0.400"
2019-09-30,recovery,193.0,6,0.0,2833.01029626237,"CPRT,NVDA,MKTX","0.380,0.220,0.400"
2019-10-31,recovery,194.0,6,0.0,2957.3655970356567,"NVDA,CMG,KLAC","0.249,0.400,0.351"
2019-11-29,recovery,195.0,6,0.0,3122.6673971414834,"COTY,CPRT,LRCX","0.227,0.400,0.373"
2019-12-31,recovery,196.0,6,0.0,3091.983500633156,"NVDA,CPRT,AMD","0.287,0.400,0.313"
2020-01-31,recovery,197.0,6,0.0,3009.5360918752876,"NVDA,AMD,TGT","0.293,0.307,0.400"
2020-02-28,normal,198.0,6,0.0,3003.4745827845313,"NVDA,FCX,AMD","0.321,0.279,0.400"
2020-03-31,crash,199.0,5,39.96406469279406,2838.650609834073,,
2020-04-30,normal,200.0,5,0.0,3268.0211895366874,"FTI,HAL,NEM","0.305,0.295,0.400"
2020-05-29,recovery,201.0,5,0.0,3604.048807119115,"FTI,COTY,DXCM","0.263,0.363,0.374"
2020-06-30,recovery,202.0,5,0.0,3675.1077217110897,"FTI,COTY,DXCM","0.266,0.347,0.386"
2020-07-31,recovery,203.0,5,0.0,4351.108438132685,"COTY,FTI,DXCM","0.316,0.289,0.395"
2020-08-31,recovery,204.0,5,0.0,4300.018437691717,"COTY,FTI,DXCM","0.320,0.280,0.400"
2020-09-30,recovery,205.0,6,0.0,3684.5258481201745,"FTI,OXY,AMD","0.340,0.260,0.400"
2020-10-30,recovery,206.0,6,0.0,3295.069762904536,"FTI,DXC,ETSY","0.364,0.327,0.309"
2020-11-30,recovery,207.0,6,0.0,5278.290015752108,"AVGO,CSX,ETSY","0.400,0.400,0.200"
2020-12-31,recovery,208.0,6,0.0,5625.472015440991,"AVGO,FTNT,TSLA","0.400,0.400,0.200"
2021-01-29,recovery,209.0,6,0.0,5671.739248166305,"APA,DVN,TSLA","0.328,0.306,0.366"
2021-02-26,recovery,210.0,6,0.0,6487.344917633977,"DXC,APA,TSLA","0.389,0.297,0.314"
2021-03-31,recovery,211.0,6,0.0,6364.58252102183,"KIM,APA,PENN","0.400,0.327,0.273"
2021-04-30,recovery,212.0,6,0.0,6840.725754845862,"APA,DOW,PENN","0.304,0.400,0.296"
2021-05-31,recovery,213.0,6,0.0,7062.450577440865,"FOX,KEYS,TSLA","0.400,0.400,0.200"
2021-06-30,recovery,214.0,6,0.0,7523.770080399006,"FOXA,DOW,TPR","0.400,0.400,0.200"
2021-07-30,recovery,215.0,6,0.0,6885.67528907489,"ZTS,DHR,MRNA","0.400,0.400,0.200"
2021-08-31,recovery,216.0,6,0.0,7220.942239945919,"APA,RSG,MRNA","0.390,0.400,0.210"
2021-09-30,recovery,217.0,6,0.0,6979.982149090255,"NOW,KEYS,MRNA","0.400,0.400,0.200"
2021-10-29,recovery,218.0,6,0.0,7276.528669353103,"KEYS,SHW,MRNA","0.400,0.400,0.200"
2021-11-30,recovery,219.0,6,0.0,7469.578634236655,"F,STE,DVN","0.354,0.400,0.246"
2021-12-31,recovery,220.0,6,0.0,7461.589139672534,"ABT,F,MRNA","0.400,0.400,0.200"
2022-01-31,recovery,221.0,6,0.0,6254.407969852083,"F,APA,DVN","0.354,0.281,0.365"
2022-02-28,normal,222.0,6,0.0,6411.4541313364025,"F,NVDA,DVN","0.366,0.266,0.368"
2022-03-31,recovery,223.0,6,0.0,6626.100971365825,"CFG,UAA,DVN","0.400,0.294,0.306"
2022-04-29,crash,224.0,5,468.25257307404144,6217.916049992341,,
2022-05-31,normal,225.0,5,0.0,7113.701849768182,"UA,UAA,DVN","0.349,0.341,0.310"
2022-06-30,crash,226.0,4,6.529136061915558,5425.886809829306,,
2022-07-29,normal,227.0,4,0.0,6273.13052816633,"CCL,NFLX,OXY","0.362,0.317,0.321"
2022-08-31,normal,228.0,4,0.0,6488.563660637529,"CCL,NVDA,OXY","0.358,0.290,0.351"
2022-09-30,crash,229.0,3,4.05259530237597,5623.783454839196,,
2022-10-31,normal,230.0,4,0.0,6905.644696252171,"NVDA,WBD,OXY","0.278,0.392,0.330"
2022-11-30,recovery,231.0,4,0.0,7229.931268121692,"CCL,F,OXY","0.310,0.342,0.348"
2022-12-30,normal,232.0,5,0.0,6434.383420276208,"CCL,NFLX,ENPH","0.361,0.318,0.321"
