entry_idx,entry_date,regime,picks,weights,initial_capital,nav,status,exit_date,exit_nav,return_pct
38,2006-11-30,recovery,"NVDA,T,HPQ,MO","0.095,0.338,0.265,0.301",13.387273659567544,15.602831604384477,exited,2007-05-31,15.602831604384477,16.549732239420756
39,2006-12-29,recovery,"CSX,T,NVDA,AAPL","0.277,0.400,0.136,0.186",11.41102426552277,14.385844573989214,exited,2007-06-29,14.385844573989214,26.069704517714133
40,2007-01-31,recovery,"NVDA,CFC,CAG,HPQ","0.118,0.126,0.400,0.356",10.357517024683867,9.899129571446725,exited,2007-07-31,9.899129571446725,-4.425650009985215
41,2007-02-28,recovery,"NVDA,CMCSA,SSP,EQR","0.099,0.254,0.348,0.299",10.406409019037135,10.188149247735101,exited,2007-08-31,10.188149247735101,-2.0973591457221885
42,2007-03-30,recovery,"NVDA,T,SCHW,IAC","0.106,0.382,0.339,0.173",12.383026679723166,14.57056644679218,exited,2007-09-28,14.57056644679218,17.665630735101658
43,2007-04-30,recovery,"NVDA,AMZN,MAT,T","0.137,0.156,0.307,0.400",12.441894980748708,13.868059508222471,exited,2007-10-31,13.868059508222471,11.462598982554194
44,2007-05-31,recovery,"AMZN,MAT,NVDA,ETR","0.088,0.395,0.117,0.400",16.602831604384477,16.527631445585357,exited,2007-11-30,16.527631445585357,-0.45293574367917255
45,2007-06-29,recovery,"AMZN,NVDA,F,CNP","0.125,0.191,0.284,0.400",15.385844573989214,15.525032279542138,exited,2007-12-31,15.525032279542138,0.9046478071683461
46,2007-07-31,recovery,"NVDA,AMZN,NI,AAPL","0.191,0.126,0.400,0.282",10.899129571446725,10.632766768957712,exited,2008-01-31,10.632766768957712,-2.4438905945922906
47,2007-08-31,recovery,"NVDA,AMZN,AAPL,CSX","0.174,0.143,0.283,0.400",11.188149247735101,10.691206240550184,exited,2008-02-29,10.691206240550184,-4.441690901518114
48,2007-09-28,recovery,"NVDA,AMZN,JCI,GLW","0.292,0.195,0.172,0.341",15.57056644679218,12.676617317142892,exited,2008-03-31,12.676617317142892,-18.5860234406918
49,2007-10-31,recovery,"AMZN,JCI,NVDA,F","0.177,0.159,0.268,0.395",14.868059508222471,12.809830795489127,exited,2008-04-30,12.809830795489127,-13.843290791209728
50,2007-11-30,recovery,"NVDA,AMZN,JCI,MTG","0.355,0.220,0.203,0.222",17.527631445585357,14.364003446672962,exited,2008-05-30,14.364003446672962,-18.04937540325342
51,2007-12-31,normal,"AMZN,NVDA,MBI,JCI","0.200,0.300,0.312,0.188",16.52503227954214,9.703165184153619,exited,2008-06-30,9.703165184153619,-41.28201978663568
52,2008-01-31,normal,"MBI,MTG,AMZN,NVDA","0.230,0.208,0.227,0.335",11.632766768957712,6.270047172822233,exited,2008-07-31,6.270047172822233,-46.10012134384067
53,2008-02-29,normal,"MBI,MTG,FHN,DDS","0.192,0.172,0.298,0.338",11.691206240550184,9.870201856522627,exited,2008-08-29,9.870201856522627,-15.575846893467006
54,2008-03-31,normal,"MBI,MTG,SLM,WEN","0.219,0.195,0.188,0.398",13.676617317142892,11.429956893705498,exited,2008-09-30,11.429956893705498,-16.427018255613014
55,2008-04-30,normal,"MBI,FHN,AMD,WEN","0.188,0.251,0.279,0.282",13.809830795489127,10.833078404457202,exited,2008-10-31,10.833078404457202,-21.555314001415983
56,2008-05-30,normal,"MBI,MTG,FHN,SLM","0.269,0.190,0.315,0.227",15.364003446672962,11.220948942401773,exited,2008-11-28,11.220948942401773,-26.96598265322804
57,2008-06-30,normal,"MTG,MBI,HBAN,FMCC","0.143,0.187,0.400,0.271",10.703165184153619,8.717741046189582,exited,2008-12-31,8.717741046189582,-18.549878506065866
58,2008-07-31,normal,"FMCC,MTG,FNMA,MBI","0.293,0.170,0.297,0.241",7.270047172822233,1.9376753102825406,exited,2009-01-30,1.9376753102825406,-73.34714253951209
59,2008-08-29,normal,"FMCC,FNMA,SLM,MBI","0.261,0.287,0.244,0.208",10.870201856522627,1.5748574538697981,exited,2009-02-27,1.5748574538697981,-85.51215998877876
63,2008-12-31,normal,"MBI,GNW,THC,AIG","0.118,0.303,0.301,0.277",46.20172528675405,83.94278388521262,exited,2009-06-30,83.94278388521262,81.68755249769615
66,2009-03-31,normal,"GNW,TGNA,MTW,LNC","0.127,0.345,0.321,0.207",6.512532764152339,29.452556228592833,exited,2009-09-30,29.452556228592833,352.2442695522674
67,2009-04-30,normal,"GNW,FITB,RF,HBAN","0.162,0.242,0.321,0.276",1.0,1.9793643313651839,exited,2009-10-30,1.9793643313651839,97.93643313651839
68,2009-05-29,recovery,"RF,GNW,NVDA,TXT","0.297,0.145,0.356,0.202",1.0,1.4781592074758136,exited,2009-11-30,1.4781592074758136,47.815920747581366
69,2009-06-30,recovery,"MTW,F,TGNA,MBI","0.305,0.223,0.308,0.164",84.94278388521262,203.01122804039974,exited,2009-12-31,203.01122804039974,138.99761551815732
70,2009-07-31,recovery,"KIM,HBAN,MBI,AIG","0.342,0.300,0.173,0.185",1.0,1.3424777341715954,exited,2010-01-29,1.3424777341715954,34.24777341715954
71,2009-08-31,recovery,"HBAN,FITB,MTW,MBI","0.281,0.266,0.291,0.162",1.0,1.2222070203282005,exited,2010-02-26,1.2222070203282005,22.22070203282005
72,2009-09-30,recovery,"HBAN,FITB,SLM,NVDA","0.193,0.183,0.224,0.400",30.452556228592833,38.08637477185583,exited,2010-03-31,38.08637477185583,25.067907225782804
73,2009-10-30,recovery,"HBAN,BAC,FITB,MBI","0.256,0.248,0.248,0.247",2.9793643313651836,5.235932800312458,exited,2010-04-30,5.235932800312458,75.73993033316893
74,2009-11-30,recovery,"HBAN,FITB,RF,BAC","0.224,0.217,0.334,0.224",2.4781592074758136,3.226906656478748,exited,2010-05-31,3.226906656478748,30.21385578231628
75,2009-12-31,recovery,"FITB,HBAN,SLM,TGNA","0.245,0.252,0.308,0.196",204.01122804039974,235.28465165067968,exited,2010-06-30,235.28465165067968,15.329265899074418
76,2010-01-29,recovery,"NVDA,LNC,PFG,RF","0.394,0.182,0.164,0.259",2.342477734171595,2.1326242133837168,exited,2010-07-30,2.1326242133837168,-8.958613254955527
77,2010-02-26,recovery,"NVDA,RF,CF,FAST","0.185,0.195,0.300,0.320",2.2222070203282005,1.962319832302739,exited,2010-08-31,1.962319832302739,-11.695003464937226
78,2010-03-31,recovery,"CAG,NVDA,APH,RF","0.400,0.147,0.297,0.156",39.08637477185583,36.87664669727521,exited,2010-09-30,36.87664669727521,-5.6534485162121895
79,2010-04-30,recovery,"PFG,HBAN,NVDA,KDP","0.143,0.190,0.267,0.400",6.235932800312458,5.909312318086204,exited,2010-10-29,5.909312318086204,-5.237716516282664
81,2010-06-30,normal,"NVDA,HBAN,NDAQ,AMZN","0.165,0.208,0.368,0.260",240.51155830715842,342.5542718823762,exited,2010-12-31,342.5542718823762,42.42736369654991
82,2010-07-30,normal,"HBAN,KDP,AMZN,KEY","0.200,0.339,0.239,0.223",3.1326242133837168,3.573742867493157,exited,2011-01-31,3.573742867493157,14.081441758153446
83,2010-08-31,normal,"NVDA,HST,MS,HBAN","0.168,0.255,0.362,0.216",2.962319832302739,4.3810760904462445,exited,2011-02-28,4.3810760904462445,47.89341929499371
