strategy,exit,n_picks,win_rate,win_rate_bias_corr,beat_spy_rate,median_ret,mean_ret,p10_ret,p90_ret,per_pick_cagr_median,cagr_dca_portfolio,cagr_spy_dca,edge_vs_spy_dca,mean_ret_bias_corr,top_k
pullback_in_winner,trail_50,36,0.3888888888888889,0.3055555555555556,0.19444444444444445,-0.339851332483916,0.22057986515883252,-0.4976977654263334,1.515818502587918,-0.34137472341478897,0.0302459771590872,0.1422747794018214,-0.1120288022427342,-0.04388314145935597,1
pullback_in_winner,stop_30,36,0.25,0.19444444444444445,0.16666666666666666,-0.31995240541782005,1.4196193699297257,-0.4289122002189548,5.372563998882523,-0.4264288581117113,0.14036138544937354,0.1422747794018214,-0.001913393952447856,1.0750711909832282,1
pullback_in_winner,trail35_or_3y,36,0.3888888888888889,0.3055555555555556,0.1388888888888889,-0.22477454535499342,0.16878164873143028,-0.3731274524113427,1.3375014553704707,-0.29723479838938716,0.02359759575815145,0.1422747794018214,-0.11867718364366994,-0.1047490210300284,1
pullback_in_winner,trail50_or_5y,36,0.3888888888888889,0.3055555555555556,0.2222222222222222,-0.339851332483916,0.23193945327387855,-0.4976977654263334,1.5321876621559858,-0.34137472341478897,0.03167119872274556,0.1422747794018214,-0.11060358067907583,-0.018904302071930754,1
pullback_in_winner,tp100,36,0.9444444444444444,0.7361111111111112,0.05555555555555555,1.0466395383012068,0.9578997883845989,1.0026181991656418,1.1000597979613118,0.9288263326927014,0.10522107575348359,0.1422747794018214,-0.03705370364833781,0.5228925378820226,1
pullback_in_winner,tp200,36,0.9166666666666666,0.7222222222222222,0.8888888888888888,2.0491470549638073,1.8206654873661539,1.5487103492760874,2.1592344576034455,0.9677217438013599,0.1664310745267672,0.1422747794018214,0.024156295124945798,1.2006617618726105,1
winner_only,hold_forever,36,0.8055555555555556,0.625,0.4166666666666667,0.9645379305384127,1.7037303462734406,-0.38291260477488787,5.841046750041999,0.11847475312629452,0.15918124101053743,0.1422747794018214,0.016906461608716034,1.0884280232546617,1
winner_only,fixed_1y,36,0.6944444444444444,0.5277777777777778,0.3888888888888889,0.6471902671892731,1.0068104605507147,-0.48859536063360676,2.775632565420637,0.6471902671892731,0.10926583984427517,0.1422747794018214,-0.03300893955754623,0.5346468871494552,1
winner_only,fixed_2y,36,0.7222222222222222,0.5555555555555556,0.4444444444444444,0.874418220134149,1.8385377206150006,-0.47504848924602944,4.972764882112321,0.3690752929445281,0.16751603226644254,0.1422747794018214,0.025241252864621144,1.1752847874398988,1
winner_only,fixed_3y,36,0.6944444444444444,0.5277777777777778,0.4722222222222222,0.7877724293636338,2.720003538637006,-0.5850473712616295,7.430207182643793,0.21350770656457352,0.21482192321844856,0.1422747794018214,0.07254714381662716,1.7828427041565673,1
winner_only,fixed_5y,36,0.6944444444444444,0.5555555555555556,0.4444444444444444,1.0780777152741259,2.073728941170345,-0.4628814369078709,3.5923262443160264,0.15752911857319563,0.18126694216807818,0.1422747794018214,0.03899216276625678,1.4251361293733509,1
winner_only,trail_25,36,0.5277777777777778,0.4166666666666667,0.0,0.02434514836161228,0.14078975357219212,-0.25534472068264225,0.6177459168389994,0.05800859476961384,0.019897694444669697,0.1422747794018214,-0.1223770849571517,-0.09642139317526091,1
winner_only,trail_35,36,0.5,0.3888888888888889,0.08333333333333333,0.019742287938140424,0.19324848486301402,-0.34840636412088577,0.8334598358451468,0.034876455985066,0.026769137708323502,0.1422747794018214,-0.11550564169349789,-0.0755251367742853,1
winner_only,trail_50,36,0.4444444444444444,0.3611111111111111,0.1388888888888889,-0.06535267716064141,0.2733095874136221,-0.486406905576992,1.5031009845352346,-0.14192214154685595,0.036767109115408425,0.1422747794018214,-0.10550767028641297,0.0014436099877635747,1
winner_only,stop_30,36,0.3055555555555556,0.25,0.1388888888888889,-0.31191682998000625,0.31004591489161387,-0.3519892370180779,1.7089225973220306,-0.2340914395136986,0.041173216452580534,0.1422747794018214,-0.10110156294924086,0.06726313697474419,1
winner_only,trail35_or_3y,36,0.5,0.3888888888888889,0.08333333333333333,0.019742287938140424,0.19324848486301402,-0.34840636412088577,0.8334598358451468,0.034876455985066,0.026769137708323502,0.1422747794018214,-0.11550564169349789,-0.0689384403678888,1
winner_only,trail50_or_5y,36,0.4444444444444444,0.3472222222222222,0.1388888888888889,-0.06535267716064141,0.2733095874136221,-0.486406905576992,1.5031009845352346,-0.14192214154685595,0.036767109115408425,0.1422747794018214,-0.10550767028641297,0.0036648467044846796,1
winner_only,tp100,36,0.9722222222222222,0.75,0.1111111111111111,1.050930219975937,1.0340243517350851,1.0068606428353555,1.2043883555561918,0.956224879759908,0.11147942114285478,0.1422747794018214,-0.03079535825896662,0.5766932510391838,1
winner_only,tp200,36,0.8888888888888888,0.6805555555555556,0.8888888888888888,2.0531675050496867,2.023261074652561,0.2898338408190365,3.0762374479089365,0.9829020097959257,0.1783952592515554,0.1422747794018214,0.03612047984973399,1.3369535758742594,1
