ticker,name,sector,asset_class,weight_pct
JKHY,JACK HENRY AND ASSOCIATES INC,Financials,Equity,0.02
SOLV,SOLVENTUM CORP,Health Care,Equity,0.02
SJM,JM SMUCKER,Consumer Staples,Equity,0.02
CPT,CAMDEN PROPERTY TRUST REIT,Real Estate,Equity,0.02
IT,GARTNER INC,Information Technology,Equity,0.02
UDR,UDR REIT INC,Real Estate,Equity,0.02
HST,HOST HOTELS & RESORTS REIT INC,Real Estate,Equity,0.02
GNRC,GENERAC HOLDINGS INC,Industrials,Equity,0.02
BALL,BALL CORP,Materials,Equity,0.02
MAA,MID AMERICA APARTMENT COMMUNITIES,Real Estate,Equity,0.02
NDSN,NORDSON CORP,Industrials,Equity,0.02
CSGP,COSTAR GROUP INC,Real Estate,Equity,0.02
TRMB,TRIMBLE INC,Information Technology,Equity,0.02
MAS,MASCO CORP,Industrials,Equity,0.02
GPC,GENUINE PARTS,Consumer Discretionary,Equity,0.02
SWK,STANLEY BLACK & DECKER INC,Industrials,Equity,0.02
HII,HUNTINGTON INGALLS INDUSTRIES INC,Industrials,Equity,0.02
TKO,TKO GROUP HOLDINGS INC CLASS A,Communication,Equity,0.02
APA,APA CORP,Energy,Equity,0.02
FOXA,FOX CORP CLASS A,Communication,Equity,0.02
TYL,TYLER TECHNOLOGIES INC,Information Technology,Equity,0.02
RL,RALPH LAUREN CORP CLASS A,Consumer Discretionary,Equity,0.02
PNR,PENTAIR,Industrials,Equity,0.02
HAS,HASBRO INC,Consumer Discretionary,Equity,0.02
DOC,HEALTHPEAK PROPERTIES INC,Real Estate,Equity,0.02
CDW,CDW CORP,Information Technology,Equity,0.02
EG,EVEREST GROUP LTD,Financials,Equity,0.02
DECK,DECKERS OUTDOOR CORP,Consumer Discretionary,Equity,0.02
J,JACOBS SOLUTIONS INC,Industrials,Equity,0.02
BXP,BXP INC,Real Estate,Equity,0.01
FDS,FACTSET RESEARCH SYSTEMS INC,Financials,Equity,0.01
POOL,POOL CORP,Consumer Discretionary,Equity,0.01
BLDR,BUILDERS FIRSTSOURCE INC,Industrials,Equity,0.01
DVA,DAVITA INC,Health Care,Equity,0.01
HRL,HORMEL FOODS CORP,Consumer Staples,Equity,0.01
MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,Equity,0.01
MOS,MOSAIC,Materials,Equity,0.01
ARE,ALEXANDRIA REAL ESTATE EQUITIES RE,Real Estate,Equity,0.01
HSIC,HENRY SCHEIN INC,Health Care,Equity,0.01
CAG,CONAGRA BRANDS INC,Consumer Staples,Equity,0.01
AOS,A O SMITH CORP,Industrials,Equity,0.01
CRL,CHARLES RIVER LABORATORIES INTERNA,Health Care,Equity,0.01
WYNN,WYNN RESORTS LTD,Consumer Discretionary,Equity,0.01
BAX,BAXTER INTERNATIONAL INC,Health Care,Equity,0.01
UHS,UNIVERSAL HEALTH SERVICES INC CLAS,Health Care,Equity,0.01
BEN,FRANKLIN RESOURCES INC,Financials,Equity,0.01
FRT,FEDERAL REALTY INVESTMENT TRUST RE,Real Estate,Equity,0.01
FOX,FOX CORP CLASS B,Communication,Equity,0.01
TECH,BIO TECHNE CORP,Health Care,Equity,0.01
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD,Consumer Discretionary,Equity,0.01
TAP,MOLSON COORS BREWING CLASS B,Consumer Staples,Equity,0.01
EPAM,EPAM SYSTEMS INC,Information Technology,Equity,0.01
ERIE,ERIE INDEMNITY CLASS A,Financials,Equity,0.01
BF-B,BROWN FORMAN CORP CLASS B,Consumer Staples,Equity,0.01
CPB,CAMPBELL SOUP,Consumer Staples,Equity,0.01
NWS,NEWS CORP CLASS B,Communication,Equity,0.01
PSKY,PARAMOUNT SKYDANCE CORP CLASS B,Communication,Equity,0.01
