name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_sharpe,wf_min_sharpe,wf_mean_dd,wf_min_dd,wf_mean_edge_pp,wf_n_pos,wf_n_beats_spy,wf_n_splits,spec_name,spec_strategy,spec_weights,spec_k_normal,spec_k_recovery,spec_k_bull,spec_weighting,spec_regime_gate,spec_hold_months,spec_cost_bps,spec_cash_yield_yr,spec_pullback_filter,spec_min_pick_mom,spec_quality_blend,spec_spy_dd_scale,spec_crash_persist,spec_monthly_exposure
lgb_k4_invvol_h3,0.19601278766479147,0.11879891000283682,7.721387766195464,0.7431509752067095,-0.34912141178926764,5,0.19924724361828783,0.206438925088392,0.03783314199416021,0.5107146531350184,0.6797197575556513,0.2997023921728551,-0.26232895094914643,-0.32552787150001056,5.118704627885322,10,6,10,lgb_k4_invvol_h3,lgb,,4,4,4,invvol,tight,3,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k4_invvol_h6,0.16083491327325938,0.11879891000283682,4.203600327042256,0.6280907129147589,-0.40362162455099304,4,0.13992741428605304,0.11543381739020653,-0.05070760677135855,0.39456575313476394,0.569103371774246,0.01856801395883715,-0.33171597745524495,-0.40362162455099326,-0.8132783053381566,8,3,10,lgb_k4_invvol_h6,lgb,,4,4,4,invvol,tight,6,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k4_invvol_h12,0.1774570861006295,0.11879891000283682,5.865817609779267,0.7562388058563906,-0.43102140922893145,4,0.15683277785093785,0.14747291249464467,0.06149311855147577,0.3138215682348442,0.7271920574244993,0.3290999033924278,-0.3146651731311819,-0.43102140922893156,0.877258051150325,10,6,10,lgb_k4_invvol_h12,lgb,,4,4,4,invvol,tight,12,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k5_ew_h3,0.1960825571518252,0.11879891000283682,7.728364714898839,0.7460597481999005,-0.3208630081242471,5,0.20269238458120514,0.2069892832589918,-0.003697420232049553,0.5444047557455773,0.6598787417913554,0.0467727899205162,-0.271338096095478,-0.3208630081242474,5.463218724177052,9,6,10,lgb_k5_ew_h3,lgb,,5,5,5,ew,tight,3,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k5_ew_h6,0.16741786906342493,0.11879891000283682,4.861895906058811,0.6519859891322117,-0.367115613095954,4,0.14554526473937646,0.11498787536589339,-0.009720286305618497,0.383701653161469,0.5642364377979792,0.11812767392018196,-0.31695729452791965,-0.36711561309595403,-0.2514932600058145,9,3,10,lgb_k5_ew_h6,lgb,,5,5,5,ew,tight,6,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k5_ew_h12,0.2143346135375368,0.11879891000283682,9.553570353469997,0.8454714201395245,-0.37539207782103257,4,0.20444704532192146,0.19918580638130068,0.09380688081386968,0.37033780480151046,0.8256165159752655,0.5294514607006255,-0.31053019111373575,-0.3753920778210327,5.638684798248683,10,6,10,lgb_k5_ew_h12,lgb,,5,5,5,ew,tight,12,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k5_invvol_h3,0.1828670642038126,0.11879891000283682,6.406815420097578,0.7559992257871038,-0.30669289311038644,5,0.1980912432325481,0.21393880745312122,0.04319956878741649,0.39978793643033717,0.7370668185837803,0.3354878637376519,-0.2523483429996639,-0.3066928931103864,5.0031045893113495,10,6,10,lgb_k5_invvol_h3,lgb,,5,5,5,invvol,tight,3,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k5_invvol_h6,0.15180629760108255,0.11879891000283682,3.300738759824573,0.6309357628690478,-0.3751155495674913,4,0.13671183431896283,0.11622597973998783,-0.048684654603553756,0.33779598149162404,0.5758887743888923,-0.005074685918235525,-0.30780116395033097,-0.3751155495674913,-1.1348363020471781,9,3,10,lgb_k5_invvol_h6,lgb,,5,5,5,invvol,tight,6,10.0,0.03,0.0,0.0,0.0,0.0,1,False
lgb_k5_invvol_h12,0.19255846748028227,0.11879891000283682,7.375955747744545,0.8075430493074311,-0.34845345734774236,4,0.18615205654957767,0.15892960644703646,0.0996537481568669,0.38010805059650377,0.7944070300723416,0.556944590093776,-0.2874200443651477,-0.3484534573477422,3.809185921014307,10,4,10,lgb_k5_invvol_h12,lgb,,5,5,5,invvol,tight,12,10.0,0.03,0.0,0.0,0.0,0.0,1,False
ml_plus_lgb_w0.3_k2_h6,0.34935019481648477,0.1194382410561079,22.991195376037687,0.817988336512684,-0.6185462266457469,4,0.3280853165620014,0.25546349632647725,0.1250315604870107,0.7930415480283934,0.7687320296391229,0.5377927863712871,-0.32992390672011895,-0.5425833775202289,18.00251192225669,10,7,10,ml_plus_lgb_w0.3_k2_h6,ml_plus_lgb,{'lgb': 0.3},2,2,2,invvol,tight,6,10.0,0.03,0.0,0.0,0.0,0.0,1,False
