universe,policy,issued,matured,wins,pending,unknown,precision,random_expected,peer_expected,nonoverlap_n
ndx,residual_cdf@0.8,31,30,9,1,0,0.300000,0.416297,0.377593,4
ndx,residual_cdf@0.85,9,9,6,0,0,0.666667,0.475159,0.629630,3
ndx,residual_cdf@0.9,2,2,1,0,0,0.500000,0.546875,0.500000,1
ndx,residual_cdf@0.95,0,0,0,0,0,,,,0
ndx,residual_cdf@0.975,0,0,0,0,0,,,,0
ndx,squeeze_veto@0.6,61,61,23,0,0,0.377049,0.363210,0.351086,8
ndx,squeeze_veto@0.7,20,20,7,0,0,0.350000,0.369453,0.376131,4
ndx,squeeze_veto@0.8,0,0,0,0,0,,,,0
ndx,squeeze_veto@0.85,0,0,0,0,0,,,,0
ndx,squeeze_veto@0.9,0,0,0,0,0,,,,0
ndx,squeeze_veto@0.95,0,0,0,0,0,,,,0
ndx,squeeze_veto@0.975,0,0,0,0,0,,,,0
